periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4,pipe Pipe5,pipe Pipe6,pipe Pipe7
1.0,4.0169,1.2287,4.8711,3.0315,8.0,6.0757,4.9128
2.0,2.8668,0.7116,4.4646,3.4852,8.0,4.5891,4.5026
3.0,2.234,0.5068,4.26,3.6609,8.0,4.0672,4.2932
4.0,1.9054,0.5479,4.1907,3.7707,8.0,4.0735,4.4909
5.0,1.6483,0.5836,4.1162,3.8171,8.0,4.1643,4.594
6.0,2.0082,0.7926,4.1764,3.7509,8.0,4.8541,4.7639
7.0,3.2919,1.7597,4.4348,3.4641,8.0,7.2317,5.6254
8.0,4.3062,2.8022,4.5655,3.1932,8.0,9.4678,6.7059
9.0,4.5131,3.3697,4.5686,3.4445,8.0,9.8762,8.0202
10.0,4.7859,3.423,4.8007,3.4438,8.0,9.921,8.2319
11.0,4.8177,3.2643,4.851,3.3131,8.0,9.916,7.9022
12.0,4.7656,3.0456,4.8206,3.1306,8.0,9.8643,7.3414
13.0,4.752,2.7974,4.8663,2.9867,8.0,9.704,6.7254
14.0,4.6591,2.6715,4.8881,3.0529,8.0,9.4252,6.5548
15.0,4.3676,2.4598,4.9382,3.3734,8.0,8.9022,6.5996
16.0,3.2908,2.0838,4.4312,3.6258,8.0,7.4359,6.5084
17.0,2.7107,1.8611,4.2286,3.7392,8.0,6.6137,6.4007
18.0,3.3788,1.8572,4.4793,3.4815,8.0,7.3315,5.977
19.0,4.6906,2.3079,5.0245,2.9357,8.0,8.9973,5.7632
20.0,4.5178,2.0124,5.0084,2.9518,8.0,8.5763,5.4706
21.0,4.3941,1.8594,4.9761,2.9841,8.0,8.2639,5.4323
22.0,2.8666,1.2515,4.4026,3.5576,8.0,6.1321,5.457
23.0,1.7462,0.9072,4.1225,3.8377,8.0,4.6562,5.4013
24.0,1.4836,-0.1163,3.9425,3.5842,8.0,3.2302,4.6043
