periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4,pipe Pipe5,pipe Pipe6,pipe Pipe7
1.0,3.8382,1.0368,4.6352,2.7823,7.9421,5.9754,4.7269
2.0,2.8666,0.7331,4.4499,3.4922,7.9896,4.6012,4.4423
3.0,2.2128,0.4958,4.2344,3.6456,7.9605,4.061,4.231
4.0,1.9035,0.5506,4.1862,3.7707,8.0012,4.0736,4.4951
5.0,1.6295,0.5681,4.0969,3.8012,7.973,4.1526,4.5655
6.0,1.9826,0.7639,4.154,3.7253,7.9669,4.8248,4.7415
7.0,3.2287,1.6835,4.3868,3.4031,7.9383,7.0868,5.6188
8.0,4.2061,2.6946,4.4852,3.1054,7.7975,9.1539,6.6663
9.0,4.5164,3.3775,4.5772,3.4575,8.0532,9.9322,8.1862
10.0,4.8424,3.4715,4.8582,3.4934,8.2858,10.26,8.3769
11.0,4.8773,3.3184,4.9102,3.3667,8.2049,10.1323,7.9661
12.0,4.8186,3.0946,4.8729,3.1789,7.991,9.8603,7.3617
13.0,4.7714,2.8122,4.8839,2.9997,7.8922,9.5971,6.6839
14.0,4.6379,2.652,4.8637,3.0301,7.9807,9.3773,6.4932
15.0,4.2489,2.3495,4.811,3.2546,8.3531,8.8715,6.3788
16.0,3.1999,2.0137,4.3313,3.5465,8.0974,7.4115,6.3142
17.0,2.709,1.8666,4.2217,3.7395,8.0077,6.6047,6.3817
18.0,3.38,1.8464,4.4857,3.4759,8.0005,7.2723,5.9651
19.0,4.691,2.2828,5.04,2.9257,8.0,9.0435,5.7978
20.0,4.5208,2.0165,5.0077,2.9522,8.0,8.5729,5.4457
21.0,4.3953,1.8622,4.9752,2.9846,8.0,8.2948,5.4274
22.0,2.8665,1.2784,4.3865,3.5684,8.0,6.1487,5.4073
23.0,1.7475,0.9212,4.1156,3.8436,8.0,4.6767,5.3774
24.0,1.9031,0.2991,4.3506,3.9882,7.5643,3.3842,5.2283
