periods,Pipe1  1->2,Pipe2  1->3,Pipe3  4->2,Pipe4 4->3,Pipe5 6->5,Pipe6 8->7,Pipe7 2->9
1.0,3.9276,1.1328,4.7532,2.9069,7.9711,6.0255,4.8198
2.0,2.8667,0.7223,4.4573,3.4887,7.9948,4.5952,4.4724
3.0,2.2234,0.5013,4.2472,3.6533,7.9802,4.0641,4.2621
4.0,1.9045,0.5492,4.1885,3.7707,8.0006,4.0735,4.493
5.0,1.6389,0.5758,4.1066,3.8091,7.9865,4.1584,4.5798
6.0,1.9954,0.7782,4.1652,3.7381,7.9835,4.8395,4.7527
7.0,3.2603,1.7216,4.4108,3.4336,7.9692,7.1593,5.6221
8.0,4.2561,2.7484,4.5254,3.1493,7.8988,9.3109,6.6861
9.0,4.5147,3.3736,4.5729,3.451,8.0266,9.9042,8.1032
10.0,4.8142,3.4472,4.8295,3.4686,8.1429,10.0905,8.3044
11.0,4.8475,3.2914,4.8806,3.3399,8.1025,10.0242,7.9342
12.0,4.7921,3.0701,4.8468,3.1547,7.9955,9.8623,7.3516
13.0,4.7617,2.8048,4.8751,2.9932,7.9461,9.6505,6.7047
14.0,4.6485,2.6618,4.8759,3.0415,7.9904,9.4013,6.524
15.0,4.3083,2.4046,4.8746,3.314,8.1765,8.8868,6.4892
16.0,3.2453,2.0488,4.3813,3.5862,8.0487,7.4237,6.4113
17.0,2.7098,1.8639,4.2252,3.7394,8.0038,6.6092,6.3912
18.0,3.3794,1.8518,4.4825,3.4787,8.0003,7.3019,5.971
19.0,4.6908,2.2953,5.0323,2.9307,8.0,9.0204,5.7805
20.0,4.5193,2.0145,5.008,2.952,8.0,8.5746,5.4581
21.0,4.3947,1.8608,4.9757,2.9843,8.0,8.2793,5.4298
22.0,2.8666,1.2649,4.3946,3.563,8.0,6.1404,5.4321
23.0,1.7469,0.9142,4.1191,3.8407,8.0,4.6664,5.3893
24.0,1.6933,0.0914,4.1466,3.7862,7.7822,3.3072,4.9163
