periods,UHp1,UHp2,UHp3,UHp4
1.0,52.465,238.187,90.0,120.0
2.0,33.735,55.899,90.0,120.0
3.0,35.456,53.505,90.0,120.0
4.0,36.839,52.24,90.0,120.0
5.0,35.783,47.645,90.0,120.0
6.0,40.171,53.966,90.0,120.0
7.0,50.243,72.892,90.0,120.0
8.0,68.127,121.7,90.0,120.0
9.0,131.487,420.249,90.0,120.0
10.0,175.622,476.552,90.0,120.0
11.0,175.889,476.736,90.0,120.0
12.0,154.333,453.267,90.0,120.0
13.0,106.111,313.749,90.0,120.0
14.0,82.89,166.034,90.0,120.0
15.0,84.115,166.381,90.0,120.0
16.0,139.563,422.348,90.0,120.0
17.0,198.178,498.177,90.0,120.0
18.0,199.922,499.922,90.0,120.0
19.0,199.996,499.996,90.0,120.0
20.0,200.0,500.0,90.0,120.0
21.0,200.0,500.0,90.0,120.0
22.0,200.0,500.0,90.0,120.0
23.0,200.0,500.0,90.0,120.0
24.0,79.074,110.556,90.0,120.0
