periods,bus 1,bus 2,bus 3,bus 4,bus 5,bus 6
1.0,115.875,115.875,115.875,115.875,115.875,115.875
2.0,115.875,115.875,115.875,115.875,115.875,115.875
3.0,115.875,115.875,115.875,115.875,115.875,115.875
4.0,115.875,115.875,115.875,115.875,115.875,115.875
5.0,115.875,115.875,115.875,115.875,115.875,115.875
6.0,115.875,115.875,115.875,115.875,115.875,115.875
7.0,115.875,115.875,115.875,115.875,115.875,115.875
8.0,115.875,115.875,115.875,115.875,115.875,115.875
9.0,115.875,115.875,115.875,115.875,115.875,115.875
10.0,115.875,115.875,115.875,115.875,115.875,115.875
11.0,115.875,115.875,115.875,115.875,115.875,115.875
12.0,115.875,115.875,115.875,115.875,115.875,115.875
13.0,115.875,115.875,115.875,115.875,115.875,115.875
14.0,115.875,115.875,115.875,115.875,115.875,115.875
15.0,115.875,115.875,115.875,115.875,115.875,115.875
16.0,115.875,115.875,115.875,115.875,115.875,115.875
17.0,115.875,115.875,115.875,115.875,115.875,115.875
18.0,115.875,115.875,115.875,115.875,115.875,115.875
19.0,115.875,115.875,115.875,115.875,115.875,115.875
20.0,115.875,115.875,115.875,115.875,115.875,115.875
21.0,115.875,115.875,115.875,115.875,115.875,115.875
22.0,115.875,115.875,115.875,115.875,115.875,115.875
23.0,115.93,115.93,115.93,115.93,115.93,115.93
24.0,111.494,111.494,111.494,111.494,111.494,111.494
