periods,Pipe1 ,Pipe2 ,Pipe3 ,Pipe4,Pipe5,Pipe6,Pipe7
1.0,1.7024,1.7499,1.7254,1.7728,1.5879,1.6303,2.2359
2.0,1.7025,1.7283,1.7401,1.7659,1.5983,1.6181,2.2963
3.0,1.7238,1.7393,1.7657,1.7812,1.6379,1.6243,2.3585
4.0,1.7257,1.7366,1.7701,1.7811,1.6367,1.6242,2.3543
5.0,1.7445,1.7522,1.7894,1.7971,1.6636,1.6358,2.3829
6.0,1.7701,1.781,1.8118,1.8227,1.6967,1.6651,2.4052
7.0,1.8332,1.8572,1.8598,1.8837,1.7584,1.8099,2.4118
8.0,1.9334,1.9648,1.9401,1.9716,1.9608,2.1238,2.4514
9.0,1.93,1.9571,1.9315,1.9586,1.9076,2.0679,2.2854
10.0,1.8736,1.9086,1.874,1.909,1.6219,1.7289,2.1404
11.0,1.8139,1.8544,1.8149,1.8554,1.4169,1.5125,2.0765
12.0,1.7609,1.8054,1.7625,1.8071,1.426,1.5165,2.0562
13.0,1.7415,1.7906,1.7449,1.7941,1.5337,1.6234,2.0977
14.0,1.7626,1.8102,1.7694,1.8169,1.553,1.6713,2.1593
15.0,1.8814,1.9205,1.8966,1.9356,1.1999,1.702,2.3802
16.0,1.9722,1.9906,1.9966,2.015,1.1026,1.7264,2.5743
17.0,1.9739,1.9851,2.0035,2.0147,1.0949,1.7354,2.5933
18.0,1.9727,1.9959,1.9971,2.0203,1.0944,1.7947,2.6053
19.0,1.9723,2.021,1.9816,2.0303,1.0943,1.7485,2.5706
20.0,1.9693,2.0169,1.9823,2.0299,1.0943,1.752,2.5955
21.0,1.9681,2.0142,1.9833,2.0294,1.0943,1.7211,2.6004
22.0,1.9681,1.9873,1.9994,2.0186,1.0943,1.7045,2.65
23.0,1.9669,1.9733,2.0062,2.0126,1.0943,1.684,2.674
24.0,1.5474,1.5579,1.5981,1.6087,1.53,1.53,2.05
