periods,G1,G2,G3-TG,G4,G3-TG-TV
1.0,0.7,3.5606,0.0,-0.0,0.6
2.0,1.0,2.8139,0.0,-0.0,1.2
3.0,1.3,2.154,0.0,-0.0,1.26
4.0,1.6,1.5988,0.0,-0.0,1.26
5.0,1.9,1.1324,0.0,-0.0,1.26
6.0,2.0,1.3727,0.0,-0.0,1.26
7.0,2.0,1.9901,0.0,-0.0,1.26
8.0,2.0,1.9854,0.0,-0.0,1.26
9.0,2.0,1.0734,0.0,-0.0,1.26
10.0,2.0,1.4687,0.0,-0.0,1.26
11.0,2.0,1.8853,0.0,-0.0,1.26
12.0,2.0,2.3501,0.0,-0.0,1.26
13.0,2.0,2.9298,0.0,-0.0,1.26
14.0,2.0,2.9468,0.0,-0.0,1.26
15.0,2.0,2.4602,0.0,-0.0,1.26
16.0,2.0,1.0228,0.0,-0.0,1.26
17.0,2.0,0.5299,0.0,-0.0,1.26
18.0,2.0,1.8887,0.0,-0.0,1.26
19.0,2.0,3.9678,0.0,-0.0,1.26
20.0,2.0,4.0579,0.0,-0.0,1.26
21.0,2.0,3.9382,0.0,-0.0,1.26
22.0,2.0,1.7961,0.0,-0.0,1.26
23.0,2.0,0.4618,0.0,-0.0,1.26
24.0,2.0,1.6494,0.0,-0.0,1.26
