periods,1,2,3,4,5,6,7,8,9,10
1.0,51.2276,48.2122,50.9836,52.5698,35.9009,54.2182,38.8577,53.6659,78.6844,33.0
2.0,50.5268,48.9204,50.4263,52.72,36.1804,54.5309,39.8743,51.9615,81.4008,33.0
3.0,50.8215,49.8671,50.7734,53.267,37.3933,55.5618,40.446,51.7371,83.9839,33.0
4.0,50.7486,50.0492,50.6908,53.3473,37.3269,55.5597,40.4367,51.741,83.5675,33.0
5.0,51.2056,50.6932,51.1427,53.8295,38.156,56.2607,40.6859,52.152,84.5425,33.0
6.0,52.0712,51.3226,51.958,54.5092,39.148,57.1466,40.9392,53.5605,85.182,33.0
7.0,54.5055,52.576,53.9744,56.0572,40.9959,58.7977,42.6204,60.1006,84.302,33.0
8.0,58.0237,54.9057,56.7443,58.4184,46.9931,64.2909,48.911,71.6244,84.2203,33.0
9.0,58.1248,54.6103,56.1895,58.2131,45.2929,62.9713,46.5022,70.857,75.096,33.0
10.0,56.7769,52.6603,54.7049,56.8022,36.6669,55.38,36.0591,62.0608,68.817,33.0
11.0,55.1313,50.8202,53.1872,55.188,30.4181,49.9979,29.3384,56.5042,67.0272,33.0
12.0,53.5978,49.2578,51.8604,53.6932,30.8866,50.0429,29.7834,56.2853,67.4389,33.0
13.0,53.0278,48.6951,51.5658,53.2277,34.2941,52.7516,33.5533,58.5793,70.3569,33.0
14.0,53.519,49.4393,52.2165,53.9109,34.8128,53.3277,35.4557,59.3993,73.1102,33.0
15.0,56.5891,53.306,55.5871,57.4753,23.2313,44.87,37.1989,59.3951,81.7774,33.0
16.0,58.4886,56.7114,57.7869,59.9108,20.1767,42.3985,39.9413,58.0389,89.3904,33.0
17.0,58.2686,57.0307,57.6863,59.9959,20.0107,42.1286,41.1532,57.3399,90.151,33.0
18.0,58.5782,56.6516,58.0064,59.9998,20.0007,42.1091,42.0262,59.8309,91.2062,33.0
19.0,59.4597,55.7472,58.5922,60.0,20.0,42.1078,38.3822,60.8527,90.1463,33.0
20.0,59.241,55.7896,58.5714,60.0,20.0,42.1077,39.1402,60.2926,91.514,33.0
21.0,59.1116,55.8459,58.5395,60.0,20.0,42.1077,38.6537,59.0251,91.7354,33.0
22.0,58.175,56.7856,57.9071,60.0,20.0,42.1077,40.7947,55.9408,93.6145,33.0
23.0,57.7019,57.1856,57.561,60.0,20.0,42.1077,41.5901,53.9825,94.5735,33.0
24.0,45.5009,44.8842,45.4991,48.4646,34.4358,52.3974,38.4472,48.3859,71.4608,33.0
