periods,G1,G2,G3-TG,G4,G3-TG-TV
1.0,175.0,712.118,0.0,-0.0,200.0
2.0,250.0,562.79,0.0,-0.0,400.0
3.0,325.0,430.79,0.0,-0.0,420.0
4.0,400.0,319.769,0.0,-0.0,420.0
5.0,475.0,226.485,0.0,-0.0,420.0
6.0,500.0,274.547,0.0,-0.0,420.0
7.0,500.0,398.026,0.0,-0.0,420.0
8.0,500.0,397.074,0.0,-0.0,420.0
9.0,500.0,214.674,0.0,-0.0,420.0
10.0,500.0,293.744,0.0,-0.0,420.0
11.0,500.0,377.065,0.0,-0.0,420.0
12.0,500.0,470.025,0.0,-0.0,420.0
13.0,500.0,585.961,0.0,-0.0,420.0
14.0,500.0,589.356,0.0,-0.0,420.0
15.0,500.0,492.045,0.0,-0.0,420.0
16.0,500.0,204.564,0.0,-0.0,420.0
17.0,500.0,105.989,0.0,-0.0,420.0
18.0,500.0,377.748,0.0,-0.0,420.0
19.0,500.0,793.553,0.0,-0.0,420.0
20.0,500.0,811.581,0.0,-0.0,420.0
21.0,500.0,787.644,0.0,-0.0,420.0
22.0,500.0,359.215,0.0,-0.0,420.0
23.0,500.0,92.36,0.0,-0.0,420.0
24.0,500.0,329.875,0.0,-0.0,420.0
