periods,Hidraulic Power,Thermal power,Start-up and-Shut down,Power shedding,Well Production,Gas shedding
1.0,0.003,0.035,0.002,0.0,0.149,0.0
2.0,0.002,0.038,0.0,0.0,0.133,0.0
3.0,0.002,0.038,0.0,0.0,0.127,0.0
4.0,0.002,0.037,0.0,0.0,0.129,0.0
5.0,0.002,0.036,0.0,0.0,0.131,0.0
6.0,0.002,0.039,0.0,0.0,0.141,0.0
7.0,0.002,0.043,0.0,0.0,0.171,0.0
8.0,0.003,0.041,0.0,0.0,0.207,0.0
9.0,0.004,0.034,0.0,0.0,0.22,0.0
10.0,0.004,0.04,0.0,0.0,0.221,0.0
11.0,0.004,0.044,0.0,0.0,0.22,0.0
12.0,0.004,0.047,0.0,0.0,0.219,0.0
13.0,0.003,0.05,0.0,0.0,0.213,0.0
14.0,0.003,0.05,0.0,0.0,0.205,0.0
15.0,0.002,0.048,0.0,0.0,0.198,0.0
16.0,0.003,0.047,0.0,0.0,0.195,0.0
17.0,0.003,0.046,0.0,0.0,0.193,0.0
18.0,0.003,0.054,0.0,0.0,0.195,0.0
19.0,0.004,0.065,0.0,0.0,0.209,0.0
20.0,0.004,0.065,0.0,0.0,0.203,0.0
21.0,0.004,0.066,0.0,0.0,0.209,0.0
22.0,0.004,0.05,0.0,0.0,0.199,0.0
23.0,0.004,0.037,0.0,0.0,0.131,0.0
24.0,0.004,0.029,0.0,0.0,0.113,0.0
