periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4,pipe Pipe5,pipe Pipe6,pipe Pipe7
1.0,3.4968,0.8178,4.612,3.3551,8.0,5.1142,4.8598
2.0,2.4785,0.5396,4.296,3.6662,8.0,4.0438,4.5014
3.0,1.9682,0.4003,4.1408,3.7516,8.0,3.693,4.275
4.0,1.7127,0.4445,4.1178,3.8706,8.0,3.7739,4.4831
5.0,1.5131,0.4933,4.057,3.8812,8.0,3.927,4.5716
6.0,1.8442,0.6982,4.1204,3.8066,8.0,4.5763,4.7342
7.0,2.9147,1.5327,4.3582,3.6178,8.0,6.572,5.5692
8.0,3.9628,2.7022,4.3947,3.3116,8.0,8.9874,6.7163
9.0,4.361,3.412,4.4338,3.5071,8.0,9.839,8.0912
10.0,4.7878,3.4594,4.8101,3.4842,8.0,9.9112,8.2875
11.0,4.7973,3.2643,4.854,3.3449,8.0,9.8999,7.9378
12.0,4.6781,3.0367,4.7446,3.1393,8.0,9.8096,7.3477
13.0,4.5039,2.6837,4.7462,3.0736,8.0,9.3689,6.7102
14.0,4.2844,2.482,4.7362,3.1894,8.0,8.8403,6.5159
15.0,4.0232,2.3136,4.6571,3.283,8.0,8.3967,6.4006
16.0,3.9109,2.2439,4.6204,3.3183,8.0,8.1969,6.33
17.0,3.833,2.2087,4.6266,3.3956,8.0,8.089,6.3793
18.0,4.1127,2.0247,4.8861,3.3028,8.0,8.224,5.9791
19.0,4.8522,2.2693,5.2291,2.9304,8.0,9.1021,5.7443
20.0,4.6081,2.0709,5.1551,2.812,8.0,8.747,5.3996
21.0,4.6724,2.3777,5.3766,2.5838,8.0,9.1327,5.4777
22.0,4.2094,2.193,4.823,3.1372,8.0,8.4666,5.9174
23.0,1.4435,0.4378,4.1048,3.8554,8.0,3.9532,5.0603
24.0,0.7686,0.1776,3.8231,3.7037,8.0,2.7194,4.9901
