periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4,pipe Pipe5,pipe Pipe6,pipe Pipe7
1.0,3.3596,0.6747,4.4072,3.1444,8.007,5.0397,4.7269
2.0,2.4745,0.5546,4.2813,3.6707,8.002,4.0382,4.4423
3.0,1.9565,0.3962,4.1268,3.7452,7.9319,3.6868,4.231
4.0,1.7139,0.4491,4.116,3.8722,8.0283,3.7759,4.4951
5.0,1.5079,0.4907,4.0518,3.8786,7.9779,3.9259,4.5655
6.0,1.8379,0.6889,4.1171,3.8002,7.9666,4.5651,4.7415
7.0,2.8879,1.4951,4.3428,3.5915,8.0159,6.4796,5.6188
8.0,3.8498,2.5835,4.3052,3.2165,7.7448,8.7083,6.6663
9.0,4.3104,3.3652,4.3927,3.4698,7.9806,9.8218,8.1862
10.0,4.81,3.4693,4.8339,3.4956,8.3357,10.2984,8.3769
11.0,4.841,3.3029,4.8965,3.3823,8.2399,10.112,7.9661
12.0,4.7293,3.0856,4.7955,3.1879,7.9233,9.7633,7.3617
13.0,4.5361,2.7136,4.7733,3.0983,7.859,9.2335,6.6839
14.0,4.2897,2.4902,4.7358,3.1919,7.9652,8.8102,6.4932
15.0,4.0247,2.3197,4.6539,3.2844,7.9798,8.3785,6.3788
16.0,3.9088,2.2438,4.6165,3.3163,7.9784,8.1956,6.3142
17.0,3.8333,2.2107,4.6247,3.3954,8.0623,8.082,6.3817
18.0,4.1208,2.0223,4.8938,3.3,8.2298,8.1782,5.9651
19.0,4.8722,2.2683,5.2599,2.9402,8.2002,9.1672,5.7978
20.0,4.6536,2.1141,5.2,2.8546,8.0069,8.7224,5.4457
21.0,4.6263,2.3162,5.3388,2.5306,8.0002,9.0953,5.4274
22.0,3.9266,1.9563,4.5301,2.8905,8.0,8.4444,5.4073
23.0,1.6669,0.6912,4.2931,4.0737,8.0,3.9007,5.3774
24.0,0.9691,0.3819,4.021,3.9054,7.5643,2.9609,5.2283
