periods,Pipe1  1->2,Pipe2  1->3,Pipe3  4->2,Pipe4 4->3,Pipe5 6->5,Pipe6 8->7,Pipe7 2->9
1.0,3.4282,0.7463,4.5096,3.2498,8.0035,5.077,4.7933
2.0,2.4765,0.5471,4.2887,3.6685,8.001,4.041,4.4718
3.0,1.9623,0.3983,4.1338,3.7484,7.9659,3.6899,4.253
4.0,1.7133,0.4468,4.1169,3.8714,8.0141,3.7749,4.4891
5.0,1.5105,0.492,4.0544,3.8799,7.9889,3.9264,4.5685
6.0,1.8411,0.6935,4.1187,3.8034,7.9833,4.5707,4.7378
7.0,2.9013,1.5139,4.3505,3.6046,8.0079,6.5258,5.594
8.0,3.9063,2.6428,4.3499,3.264,7.8724,8.8479,6.6913
9.0,4.3357,3.3886,4.4132,3.4884,7.9903,9.8304,8.1387
10.0,4.7989,3.4644,4.822,3.4899,8.1679,10.1048,8.3322
11.0,4.8191,3.2836,4.8753,3.3636,8.1199,10.006,7.952
12.0,4.7037,3.0612,4.7701,3.1636,7.9617,9.7865,7.3547
13.0,4.52,2.6987,4.7598,3.086,7.9295,9.3012,6.6971
14.0,4.287,2.4861,4.736,3.1906,7.9826,8.8252,6.5045
15.0,4.024,2.3166,4.6555,3.2837,7.9899,8.3876,6.3897
16.0,3.9098,2.2439,4.6184,3.3173,7.9892,8.1963,6.3221
17.0,3.8332,2.2097,4.6256,3.3955,8.0312,8.0855,6.3805
18.0,4.1168,2.0235,4.89,3.3014,8.1149,8.2011,5.9721
19.0,4.8622,2.2688,5.2445,2.9353,8.1001,9.1346,5.7711
20.0,4.6308,2.0925,5.1776,2.8333,8.0035,8.7347,5.4227
21.0,4.6493,2.3469,5.3577,2.5572,8.0001,9.114,5.4525
22.0,4.068,2.0747,4.6765,3.0139,8.0,8.4555,5.6624
23.0,1.5552,0.5645,4.199,3.9645,8.0,3.927,5.2188
24.0,0.8688,0.2798,3.922,3.8045,7.7822,2.8402,5.1092
