periods,UHp1,UHp2,UHp3,UHp4
1.0,90.192,331.179,90.0,120.0
2.0,65.198,136.338,90.0,120.0
3.0,57.281,100.826,90.0,120.0
4.0,52.877,86.604,90.0,120.0
5.0,45.603,66.674,90.0,120.0
6.0,50.512,74.002,90.0,120.0
7.0,66.87,121.994,90.0,120.0
8.0,80.712,218.443,90.0,120.0
9.0,167.027,477.002,90.0,120.0
10.0,180.817,493.827,90.0,120.0
11.0,178.149,491.606,90.0,120.0
12.0,167.882,474.336,90.0,120.0
13.0,119.087,366.897,90.0,120.0
14.0,105.138,231.227,90.0,120.0
15.0,103.167,183.772,90.0,120.0
16.0,112.739,214.679,90.0,120.0
17.0,124.792,261.827,90.0,120.0
18.0,137.442,333.06,90.0,120.0
19.0,169.426,446.571,90.0,120.0
20.0,170.793,449.988,90.0,120.0
21.0,159.907,430.257,90.0,120.0
22.0,151.728,399.636,90.0,120.0
23.0,174.464,437.95,90.0,120.0
24.0,148.198,371.306,90.0,120.0
