periods,Pipe1 ,Pipe2 ,Pipe3 ,Pipe4,Pipe5,Pipe6,Pipe7
1.0,1.6609,1.701,1.6943,1.7344,1.523,1.6044,2.1829
2.0,1.665,1.686,1.709,1.73,1.521,1.61,2.242
3.0,1.6767,1.6901,1.723,1.7364,1.5891,1.6162,2.286
4.0,1.6754,1.6855,1.7247,1.7348,1.5608,1.6142,2.274
5.0,1.6806,1.6882,1.7299,1.7374,1.583,1.6152,2.2801
6.0,1.6868,1.6975,1.7332,1.7438,1.6164,1.6264,2.2727
7.0,1.7136,1.7351,1.7486,1.7701,1.6005,1.7188,2.2231
8.0,1.8266,1.8538,1.8381,1.8652,1.8557,1.9979,2.273
9.0,1.8772,1.9005,1.8792,1.9026,1.8751,2.0151,2.1781
10.0,1.855,1.8906,1.8555,1.8911,1.5394,1.6279,2.0886
11.0,1.8113,1.8521,1.8129,1.8537,1.2996,1.4158,2.0603
12.0,1.7601,1.8031,1.7621,1.8051,1.3762,1.4622,2.0463
13.0,1.7279,1.7733,1.7351,1.7804,1.5173,1.5975,2.0726
14.0,1.7226,1.7651,1.7355,1.7779,1.5521,1.6276,2.0952
15.0,1.7212,1.759,1.7387,1.7765,1.5723,1.6459,2.1171
16.0,1.7233,1.7591,1.7426,1.7784,1.5939,1.6472,2.1328
17.0,1.7231,1.7571,1.7446,1.7786,1.5316,1.6542,2.1304
18.0,1.715,1.7595,1.7369,1.7814,1.3017,1.7001,2.1445
19.0,1.6951,1.7605,1.7061,1.7715,1.1015,1.635,2.091
20.0,1.6496,1.7173,1.6612,1.7289,1.0946,1.6596,2.0449
21.0,1.6957,1.7789,1.699,1.7821,1.0943,1.6969,2.0951
22.0,1.9785,2.0156,1.9918,2.0289,1.0943,1.7191,2.6053
23.0,1.7551,1.7622,1.8035,1.8106,1.0943,1.7716,2.2882
24.0,1.5546,1.5579,1.6056,1.6089,1.53,1.53,2.05
