periods,G1,G2,G3-TG,G4,G3-TG-TV
1.0,0.7,2.907,0.0,0.0,0.6
2.0,1.0,2.2544,0.0,0.0,1.2
3.0,1.3,1.8082,0.0,0.0,1.26
4.0,1.6,1.3468,0.0,0.0,1.26
5.0,1.9,0.9882,0.0,0.0,1.26
6.0,2.0,1.2209,0.0,0.0,1.26
7.0,2.0,1.6615,0.0,0.0,1.26
8.0,2.0,1.4387,0.0,0.0,1.26
9.0,2.0,0.6119,0.0,0.0,1.26
10.0,2.0,1.3564,0.0,0.0,1.26
11.0,2.0,1.7997,0.0,0.0,1.26
12.0,2.0,2.177,0.0,0.0,1.26
13.0,2.0,2.5992,0.0,0.0,1.26
14.0,2.0,2.5096,0.0,0.0,1.26
15.0,2.0,2.278,0.0,0.0,1.26
16.0,2.0,2.1953,0.0,0.0,1.26
17.0,2.0,2.0786,0.0,0.0,1.26
18.0,2.0,3.0354,0.0,0.0,1.26
19.0,2.0,4.3877,0.0,0.0,1.26
20.0,2.0,4.454,0.0,0.0,1.26
21.0,2.0,4.4874,0.0,0.0,1.26
22.0,2.0,2.5393,0.0,0.0,1.26
23.0,2.0,0.8997,0.0,0.0,1.26
24.0,2.0,0.0,0.0,0.0,1.26
