periods,1,2,3,4,5,6,7,8,9,10
1.0,49.7369,47.2799,49.6217,51.6866,33.4496,52.9882,38.859,52.1973,76.6076,33.0
2.0,49.2732,47.9814,49.2093,51.8408,33.423,52.8991,39.898,51.4731,79.2602,33.0
3.0,49.3783,48.5581,49.3431,52.083,35.5996,54.5894,40.3349,51.389,81.1823,33.0
4.0,49.2485,48.6165,49.2047,52.127,34.6544,53.9291,40.2168,51.3944,80.4424,33.0
5.0,49.3309,48.8351,49.2785,52.2077,35.4008,54.4396,40.1331,51.5369,80.5688,33.0
6.0,49.6267,48.9034,49.5252,52.334,36.4401,55.2942,39.9083,52.3977,80.0816,33.0
7.0,50.9032,49.1918,50.4448,52.948,35.9053,54.929,40.4686,57.0794,76.9773,33.0
8.0,54.7886,51.9079,53.4914,55.4597,43.7242,61.5932,45.5546,67.8327,77.0952,33.0
9.0,56.5445,53.1031,54.4668,56.6641,44.1208,62.3005,44.6309,69.7329,70.5098,33.0
10.0,56.3074,52.0426,54.1261,56.3373,33.7461,53.6211,32.328,60.0607,66.4955,33.0
11.0,55.0917,50.7102,53.0921,55.1861,26.0888,47.6655,25.5036,54.8491,66.2196,33.0
12.0,53.5536,49.2573,51.7697,53.6701,28.9153,49.1902,27.5277,55.4551,66.8772,33.0
13.0,52.4958,48.4334,51.0826,52.9145,33.4335,52.6761,32.8071,57.8582,69.1924,33.0
14.0,52.1535,48.4666,50.9456,52.9051,34.4304,53.6551,34.5622,57.8121,70.4465,33.0
15.0,51.8984,48.6374,50.8447,52.9215,35.0449,54.1863,35.8172,57.5912,71.5144,33.0
16.0,51.8697,48.7913,50.8807,52.998,35.7099,54.7486,36.1429,57.3392,72.2537,33.0
17.0,51.7966,48.8495,50.8364,53.0545,33.7131,53.2094,36.5294,57.3516,72.0595,33.0
18.0,51.7905,48.3857,50.9817,53.0698,26.3918,47.4872,37.7422,58.7433,73.3214,33.0
19.0,51.925,47.0869,50.91,52.5659,20.0207,42.4954,34.28,58.5114,71.5852,33.0
20.0,50.6049,45.7496,49.7064,51.2822,20.0003,42.1214,35.5917,58.5944,70.3041,33.0
21.0,52.4684,46.5815,51.437,52.6588,20.0,42.1082,36.2593,60.0463,72.3254,33.0
22.0,59.2208,56.3461,58.5101,60.0,20.0,42.1077,38.262,59.3036,91.513,33.0
23.0,51.4961,51.021,51.4359,54.3248,20.0,42.1077,44.3257,56.217,78.8438,33.0
24.0,45.5084,45.2972,45.4916,48.4855,34.0738,52.7593,38.6934,48.1398,71.0478,33.0
