periods,UHp1,UHp2,UHp3,UHp4
1.0,175.556,77.214,90.0,120.0
2.0,0.0,0.0,90.0,120.0
3.0,0.0,0.0,90.0,120.0
4.0,0.0,0.0,90.0,120.0
5.0,0.0,0.0,90.0,120.0
6.0,0.0,0.0,90.0,120.0
7.0,0.0,130.097,90.0,120.0
8.0,200.0,500.0,90.0,120.0
9.0,200.0,500.0,90.0,120.0
10.0,200.0,500.0,90.0,120.0
11.0,200.0,500.0,90.0,120.0
12.0,200.0,500.0,90.0,120.0
13.0,200.0,484.83,90.0,120.0
14.0,200.0,362.164,90.0,120.0
15.0,0.0,278.429,90.0,120.0
16.0,200.0,240.526,90.0,120.0
17.0,0.0,497.881,90.0,120.0
18.0,200.0,499.919,90.0,120.0
19.0,200.0,499.997,90.0,120.0
20.0,200.0,500.0,90.0,120.0
21.0,200.0,428.942,90.0,120.0
22.0,112.094,212.906,90.0,120.0
23.0,0.0,251.15,90.0,120.0
24.0,192.351,235.944,90.0,120.0
