periods,ngnode 1,ngnode 2,ngnode 3,ngnode 4,ngnode 5,ngnode 6,ngnode 7,ngnode 8,ngnode 9,ngnode 10
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.011,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0
5.0,0.0,0.94,0.0,0.0,0.0,0.048,0.0,0.037,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,2461.418,0.0,0.0,0.0,491.885,0.0,643.266,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0
21.0,0.0,4.983,0.0,0.0,0.0,0.958,0.0,1.28,0.0,0.0
22.0,0.0,77.964,0.0,0.0,0.0,15.038,0.0,8.482,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,10.341,0.0,92.758,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
