periods,1,2,3,4,5,6,7,8,9,10
1.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
2.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
3.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
4.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
5.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.135
6.0,15.073,15.069,15.073,15.073,14.998,14.999,14.998,15.0,15.061,15.121
7.0,15.118,15.022,15.131,15.116,15.041,15.072,15.042,15.082,14.815,14.875
8.0,16.013,14.882,16.186,16.012,15.932,16.274,15.933,16.329,8.773,8.808
9.0,27.96,27.96,27.96,27.96,27.821,27.821,27.821,27.821,27.96,28.072
10.0,27.96,27.96,27.96,27.96,27.821,27.821,27.821,27.823,27.959,28.072
11.0,27.963,27.961,27.952,27.957,27.818,27.825,27.824,27.857,27.95,28.062
12.0,27.671,28.677,27.44,27.704,27.566,28.335,27.533,29.116,27.054,27.163
13.0,15.091,15.091,15.091,15.091,15.016,15.016,15.016,15.016,15.091,15.151
14.0,15.091,15.091,15.091,15.091,15.016,15.016,15.016,15.016,15.091,15.151
15.0,15.091,15.091,15.091,15.091,15.016,15.016,15.016,15.016,15.091,15.151
16.0,15.091,15.091,15.091,15.091,15.016,15.016,15.016,15.016,15.091,15.151
17.0,15.091,15.091,15.091,15.091,15.016,15.016,15.016,15.016,15.091,15.151
18.0,15.091,15.091,15.091,15.091,15.016,15.016,15.016,15.016,15.091,15.151
19.0,15.091,15.091,15.091,15.091,15.016,15.016,15.016,15.016,15.091,15.151
20.0,15.091,15.091,15.091,15.091,15.016,15.016,15.016,15.016,15.091,15.151
21.0,15.09,15.093,15.089,15.089,15.014,15.016,15.014,15.018,15.09,15.151
22.0,15.054,15.091,15.047,15.053,14.978,15.002,14.979,15.0,15.045,15.105
23.0,14.701,14.624,14.679,14.66,14.587,14.603,14.628,15.0,14.541,14.599
24.0,15.075,14.106,15.179,14.395,14.323,14.323,15.0,15.0,12.997,13.049
