periods,G1,G2,G3-TG,G4,G3-TG-TV
1.0,0.7,3.75,0.0,0.0,0.6
2.0,1.0,3.2621,0.0,0.0,1.2
3.0,1.3,2.5988,0.0,0.0,1.26
4.0,1.6,2.0442,0.0,0.0,1.26
5.0,1.9,1.5496,0.0,0.0,1.26
6.0,2.0,1.8434,0.0,0.0,1.26
7.0,2.0,1.9553,0.0,0.0,1.26
8.0,1.9331,0.0,0.0,103.6298,0.66
9.0,1.676,0.0,0.0,200.0,1.1022
10.0,1.976,0.2596,0.0,200.0,1.26
11.0,2.0,0.5887,0.0,200.0,1.26
12.0,2.0,0.8881,0.0,200.0,1.26
13.0,2.0,1.355,0.0,50.0,1.26
14.0,2.0,1.3806,0.0,0.0,1.26
15.0,2.0,2.3206,0.0,0.0,1.26
16.0,2.0,1.6297,0.0,0.0,1.26
17.0,2.0,1.5223,0.0,0.0,1.26
18.0,2.0,1.8884,0.0,0.0,1.26
19.0,2.0,3.9677,0.0,0.0,1.26
20.0,2.0,4.0579,0.0,0.0,1.26
21.0,2.0,4.2935,0.0,0.0,1.26
22.0,2.0,3.6711,0.0,0.0,1.26
23.0,2.0,2.706,0.0,0.0,1.26
24.0,2.0,0.456,0.0,0.0,1.26
