periods,1,2,3,4,5,6,7,8,9,10
1.0,59.9666,55.24,58.0951,58.2345,48.8324,61.6894,28.9559,55.6156,92.0927,33.0
2.0,59.9963,57.414,59.2561,59.9953,43.8732,57.1409,40.5367,58.2551,97.9206,33.0
3.0,59.9997,58.0474,59.3007,59.9994,56.7012,69.9991,40.5997,57.3138,99.8802,33.0
4.0,58.5634,57.4642,58.3527,60.0,24.0599,40.0,42.6049,56.1825,98.1305,33.0
5.0,59.9913,58.4245,59.2078,60.0,44.4075,56.863,41.4316,59.1626,99.6582,33.0
6.0,60.0,58.2291,59.1784,60.0,56.6987,70.0,60.0,80.0,98.8405,33.0
7.0,60.0,57.5461,58.7994,59.7198,56.3509,70.0,58.7359,80.0,94.6029,33.0
8.0,60.0,58.1899,58.8931,60.0,56.4169,70.0,60.0,80.0,91.4172,33.0
9.0,60.0,56.5789,57.3487,58.5156,56.3549,70.0,51.105,75.827,79.9766,33.0
10.0,60.0,56.1246,57.1707,58.5184,38.775,52.5546,20.0,52.0793,77.045,33.0
11.0,55.1984,51.6096,52.7323,54.189,25.2874,40.0,20.0,50.2601,69.5345,33.0
12.0,51.887,48.0757,49.3425,50.5741,26.1147,40.0,20.0,50.2001,65.0,33.0
13.0,50.6772,46.7988,48.3279,49.3939,29.5537,42.9172,24.4131,52.7109,66.1104,33.0
14.0,51.3877,47.5807,49.0964,50.1024,33.0818,46.187,27.0896,54.6339,68.9085,33.0
15.0,51.3393,46.9243,49.093,50.0389,28.096,41.9851,20.7883,50.9936,68.3596,33.0
16.0,53.651,49.8567,51.5198,52.4632,26.101,40.109,20.0382,50.2702,74.7533,33.0
17.0,55.7063,52.1228,53.6256,54.5407,26.094,40.0062,20.002,50.2027,79.4573,33.0
18.0,59.2955,55.8728,57.4596,58.2215,26.0901,40.0002,20.0001,50.1983,89.1177,33.0
19.0,54.1861,49.542,52.3674,53.0163,26.0901,40.0,20.0,50.198,77.8935,33.0
20.0,51.322,46.4147,49.4888,50.1117,26.0901,40.0,20.0,50.198,72.5793,33.0
21.0,48.1951,42.7784,46.3102,46.9207,26.0901,40.0,20.0,50.198,65.0,33.0
22.0,48.0706,42.9742,46.1302,46.7893,26.0901,40.0,20.0,50.198,65.0,33.0
23.0,53.2076,49.0751,51.4203,52.0582,26.0901,40.0,20.0,50.198,77.3894,33.0
24.0,46.2512,45.2112,45.8084,47.2667,37.0761,49.757,36.4901,50.343,71.1339,33.0
