periods,G1,G2,G3-TG,G4,G3-TG-TV
1.0,175.0,750.0,0.0,0.0,200.0
2.0,250.0,652.424,0.0,0.0,400.0
3.0,325.0,519.751,0.0,0.0,420.0
4.0,400.0,408.847,0.0,0.0,420.0
5.0,475.0,309.914,0.0,0.0,420.0
6.0,500.0,368.685,0.0,0.0,420.0
7.0,500.0,391.064,0.0,0.0,420.0
8.0,483.27,0.0,0.0,103.63,220.0
9.0,419.006,0.0,0.0,200.0,367.405
10.0,494.006,51.913,0.0,200.0,420.0
11.0,500.0,117.739,0.0,200.0,420.0
12.0,500.0,177.626,0.0,200.0,420.0
13.0,500.0,270.991,0.0,50.0,420.0
14.0,500.0,276.116,0.0,0.0,420.0
15.0,500.0,464.112,0.0,0.0,420.0
16.0,500.0,325.948,0.0,0.0,420.0
17.0,500.0,304.463,0.0,0.0,420.0
18.0,500.0,377.673,0.0,0.0,420.0
19.0,500.0,793.549,0.0,0.0,420.0
20.0,500.0,811.58,0.0,0.0,420.0
21.0,500.0,858.702,0.0,0.0,420.0
22.0,500.0,734.215,0.0,0.0,420.0
23.0,500.0,541.21,0.0,0.0,420.0
24.0,500.0,91.21,0.0,0.0,420.0
