periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4,pipe Pipe5,pipe Pipe6,pipe Pipe7
1.0,4.9869,2.9237,4.3203,1.4799,6.0,9.0364,5.0073
2.0,3.9476,2.1557,3.9088,2.0936,6.0,7.1537,4.5373
3.0,3.3566,1.8518,3.6601,2.3582,6.0,6.5408,4.3283
4.0,3.3672,2.0602,3.691,2.5536,6.0,7.0696,4.7126
5.0,3.0548,2.0094,3.1437,2.3842,6.0,6.9912,4.6086
6.0,3.2828,2.2475,3.2821,2.2466,6.0,8.1055,4.7255
7.0,3.989,2.8101,3.7215,2.2546,6.0,8.8146,5.5225
8.0,3.3344,2.8418,3.3298,2.6403,6.0,8.156,6.6304
9.0,4.5046,4.0526,3.3744,2.5963,6.0,10.0,7.958
10.0,4.8141,4.1806,3.8207,2.7796,6.0,10.0,8.3159
11.0,4.4013,3.5808,3.6903,2.789,6.0,10.0,7.7542
12.0,4.3975,3.5538,3.4707,2.4812,6.0,10.0,7.2202
13.0,4.3929,3.4635,3.5478,2.2948,6.0,9.9999,6.6837
14.0,4.2338,3.4722,3.3621,2.3146,6.0,9.9999,6.6186
15.0,4.3122,3.4399,3.4934,2.3138,6.0,9.9999,6.5099
16.0,4.4981,3.4074,3.6859,2.2181,6.0,9.9999,6.3608
17.0,4.498,3.3893,3.7168,2.2505,6.0,9.9999,6.4045
18.0,4.6693,3.2562,3.9107,2.0293,6.0,9.9999,5.9505
19.0,5.2011,3.1782,4.4937,1.8252,6.0,9.9999,5.5813
20.0,5.1221,3.0478,4.4578,1.7446,6.0,9.9999,5.3252
21.0,4.9861,2.9817,4.2737,1.7712,6.0,9.9999,5.3676
22.0,4.9271,3.0245,4.1957,1.8034,6.0,9.9999,5.403
23.0,4.7218,3.2286,3.8624,2.1065,6.0,9.9998,5.8878
24.0,1.8555,1.2177,3.0877,2.4534,6.0,5.3916,4.8655
