periods,ngnode 1,ngnode 2,ngnode 3,ngnode 4,ngnode 5,ngnode 6,ngnode 7,ngnode 8,ngnode 9,ngnode 10
1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.882,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,184.705,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,2945.477,3806.484,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,45115.597,28095.396,0.0,92148.78,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.003,0.011,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.997,1.907,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,16.04,22.707,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0,0.0,272.524,177.292,0.0,615.911,0.0
22.0,0.0,0.0,0.0,0.0,0.0,1.107,2.059,0.0,1.623,0.0
23.0,0.0,0.0,0.0,0.0,0.0,33.887,18.837,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
