periods,bus 1,bus 2,bus 3,bus 4,bus 5,bus 6
1.0,156.225,156.225,156.225,156.225,156.225,156.225
2.0,115.875,115.875,115.875,115.875,115.875,115.875
3.0,115.875,115.875,115.875,115.875,115.875,115.875
4.0,115.878,115.878,115.878,115.878,115.878,115.878
5.0,115.931,115.931,115.931,115.931,115.931,115.931
6.0,118.081,118.081,118.081,118.081,118.081,118.081
7.0,156.225,156.225,156.225,156.225,156.225,156.225
8.0,180.3,180.3,180.3,180.3,180.3,180.3
9.0,3585.515,3585.515,3585.515,3585.515,3585.515,3585.515
10.0,5978.23,5978.23,5978.23,5978.23,5978.23,5978.23
11.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0
12.0,5844.817,5844.817,5844.817,5844.817,5844.817,5844.817
13.0,156.225,156.225,156.225,156.225,156.225,156.225
14.0,156.225,156.225,156.225,156.225,156.225,156.225
15.0,156.225,156.225,156.225,156.225,156.225,156.225
16.0,156.225,156.225,156.225,156.225,156.225,156.225
17.0,156.225,156.225,156.225,156.225,156.225,156.225
18.0,156.225,156.225,156.225,156.225,156.225,156.225
19.0,156.237,156.237,156.237,156.237,156.237,156.237
20.0,156.309,156.309,156.309,156.309,156.309,156.309
21.0,156.225,156.225,156.225,156.225,156.225,156.225
22.0,119.698,119.698,119.698,119.698,119.698,119.698
23.0,119.698,119.698,119.698,119.698,119.698,119.698
24.0,119.698,119.698,119.698,119.698,119.698,119.698
