periods,Pipe1 ,Pipe2 ,Pipe3 ,Pipe4,Pipe5,Pipe6,Pipe7
1.0,1.7908,1.8423,1.7723,1.8238,1.7008,1.9128,2.3305
2.0,1.8106,1.8455,1.8096,1.8446,1.6684,1.9277,2.4255
3.0,1.8518,1.8761,1.8582,1.8825,1.62,1.9276,2.5228
4.0,2.0027,2.0225,2.0089,2.0287,1.3442,1.9346,2.7403
5.0,2.0252,2.037,2.0268,2.0386,1.7887,1.9267,2.7834
6.0,2.024,2.0403,2.024,2.0403,2.2323,2.4642,2.7674
7.0,2.0091,2.0322,2.0034,2.0265,2.2263,2.4358,2.671
8.0,2.0232,2.0318,2.0231,2.0316,2.2264,2.4593,2.6351
9.0,1.9961,2.0074,1.9712,1.9826,2.2259,2.2352,2.4069
10.0,1.9879,2.0047,1.9638,1.9806,1.5926,1.27,2.3459
11.0,1.8293,1.8439,1.8114,1.826,1.0808,1.238,2.1339
12.0,1.7122,1.7277,1.6883,1.7038,1.0992,1.2369,1.9924
13.0,1.6742,1.7003,1.6515,1.6776,1.2274,1.3312,1.9922
14.0,1.732,1.7521,1.7104,1.7305,1.5223,1.5766,2.1176
15.0,1.8038,1.8261,1.7839,1.8061,1.6861,1.7758,2.2488
16.0,1.8311,1.8589,1.8107,1.8385,1.7526,1.8206,2.2954
17.0,1.8477,1.8753,1.8282,1.8559,1.7555,1.8838,2.3181
18.0,1.8211,1.8572,1.8012,1.8372,1.7858,1.9086,2.3036
19.0,1.6964,1.7559,1.6739,1.7335,1.4353,1.4773,2.087
20.0,1.6054,1.6675,1.5835,1.6456,1.2018,1.2564,1.9664
21.0,1.5649,1.6212,1.5418,1.5981,1.1267,1.2387,1.9067
22.0,1.56,1.6119,1.5366,1.5885,1.0976,1.2372,1.9024
23.0,1.8651,1.8959,1.8439,1.8747,1.0988,1.237,2.4128
24.0,1.5581,1.5659,1.5807,1.5885,1.53,1.53,2.05
