periods,G1,G2,G3-TG,G4,G3-TG-TV
1.0,0.7,3.7499,0.0,0.0,0.6
2.0,1.0,3.262,0.0,0.0,1.2
3.0,1.3,2.5986,0.0,0.0,1.26
4.0,1.6,2.0441,0.0,0.0,1.26
5.0,1.9,1.5494,0.0,0.0,1.26
6.0,2.0,1.8433,0.0,0.0,1.26
7.0,2.0,2.2236,0.0,0.0,1.26
8.0,1.9159,0.0,0.0,50.0015,0.9375
9.0,1.616,0.0,0.0,200.0,1.1472
10.0,1.916,0.3346,0.0,200.0,1.26
11.0,2.0,0.6485,0.0,200.0,1.26
12.0,2.0,0.8881,0.0,200.0,1.26
13.0,2.0,1.3316,0.0,50.0038,1.26
14.0,2.0,0.8606,0.0,0.0,1.26
15.0,2.0,1.1503,0.0,0.0,1.26
16.0,2.0,1.7691,0.0,0.0,1.26
17.0,2.0,1.7764,0.0,0.0,1.26
18.0,2.0,2.683,0.0,0.0,1.26
19.0,2.0,4.3655,0.0,0.0,1.26
20.0,2.0,4.4362,0.0,0.0,1.26
21.0,2.0,3.9744,0.0,0.0,1.26
22.0,2.0,3.7299,0.0,0.0,1.26
23.0,2.0,2.0839,0.0,0.0,1.26
24.0,2.0,0.648,0.0,0.0,1.26
