periods,1,2,3,4,5,6,7,8,9,10
1.0,54.509,50.0914,53.1015,53.4289,41.7628,54.7661,43.3816,65.1757,82.1705,33.0
2.0,54.3207,51.4363,53.4759,54.2674,40.7202,53.9677,45.8683,63.5381,86.2171,33.0
3.0,55.0947,53.071,54.4908,55.4687,39.3522,52.5894,46.4999,62.897,90.105,33.0
4.0,59.3955,57.5821,58.7391,59.7598,31.261,45.0276,46.1466,63.6476,97.9377,33.0
5.0,59.9092,58.3858,59.0746,59.9996,44.3741,57.1418,45.8732,63.4739,99.5819,33.0
6.0,59.9996,58.227,59.1768,59.9997,56.6943,69.9991,59.8935,79.959,98.8331,33.0
7.0,60.0,57.3545,58.7031,59.6679,56.351,70.0,58.2425,79.9999,94.2359,33.0
8.0,60.0,58.179,58.677,59.9921,56.3558,70.0,59.574,80.0,91.3733,33.0
9.0,59.9982,56.5944,57.2588,58.5471,56.3402,69.9858,50.9464,75.9122,80.0056,33.0
10.0,59.9999,56.1134,57.0967,58.5921,38.2032,52.183,20.0003,52.0774,77.0228,33.0
11.0,55.2514,51.5991,52.4551,54.2055,21.3406,40.0,20.0,50.2601,69.5088,33.0
12.0,51.9359,48.0767,48.983,50.5361,22.3831,40.0,20.0,50.2001,65.0,33.0
13.0,50.8537,46.9372,48.4611,49.5316,27.796,41.8639,23.2333,52.3151,66.1279,33.0
14.0,52.3089,48.8578,50.033,51.0493,36.7433,49.6542,31.5042,57.9759,71.3261,33.0
15.0,54.3951,50.9695,52.2671,53.2299,41.3483,54.3465,37.6779,63.1029,76.6556,33.0
16.0,55.33,51.6294,53.2529,54.1386,43.1817,56.2856,38.924,64.4029,78.6404,33.0
17.0,55.7943,52.1301,53.7471,54.6568,43.2352,56.3936,40.8723,66.0392,79.4312,33.0
18.0,55.2034,51.1713,53.2763,54.0362,44.1093,57.2406,41.6059,66.7149,79.5642,33.0
19.0,52.2795,46.8085,50.285,50.9683,33.8559,47.6034,27.7115,56.1285,71.636,33.0
20.0,49.667,44.105,47.7338,48.3891,26.9604,41.2472,20.3869,50.9185,67.4978,33.0
21.0,48.3712,43.0353,46.3235,47.021,23.902,40.0424,20.0333,50.2661,65.1768,33.0
22.0,48.1523,42.9669,45.9997,46.7855,22.2875,40.0039,20.0084,50.2086,65.0024,33.0
23.0,56.3353,52.6101,54.4083,55.0927,22.3629,40.0001,20.0027,50.2004,84.3274,33.0
24.0,45.9363,45.0742,45.5297,47.2561,37.0577,49.7755,36.8812,49.952,71.2709,33.0
