periods,G1,G2,G3-TG,G4,G3-TG-TV
1.0,174.999,749.983,0.0,0.0,200.0
2.0,249.999,652.395,0.0,0.0,400.0
3.0,324.999,519.722,0.0,0.0,420.0
4.0,399.999,408.818,0.0,0.0,420.0
5.0,474.998,309.885,0.0,0.0,420.0
6.0,499.999,368.653,0.0,0.0,420.0
7.0,499.998,444.716,0.0,0.0,419.999
8.0,478.973,0.0,0.0,50.002,312.499
9.0,403.997,0.0,0.0,200.0,382.414
10.0,478.997,66.922,0.0,200.0,420.0
11.0,500.0,129.69,0.0,200.0,420.0
12.0,500.0,177.626,0.0,200.0,420.0
13.0,499.999,266.329,0.0,50.004,420.0
14.0,499.999,172.113,0.0,0.0,420.0
15.0,499.999,230.06,0.0,0.0,420.0
16.0,499.999,353.814,0.0,0.0,420.0
17.0,499.999,355.272,0.0,0.0,420.0
18.0,499.999,536.602,0.0,0.0,420.0
19.0,499.999,873.096,0.0,0.0,420.0
20.0,499.999,887.243,0.0,0.0,420.0
21.0,499.999,794.874,0.0,0.0,420.0
22.0,499.999,745.976,0.0,0.0,420.0
23.0,499.999,416.772,0.0,0.0,419.999
24.0,499.998,129.592,0.0,0.0,419.999
