periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4,pipe Pipe5,pipe Pipe6,pipe Pipe7
1.0,0.0014,0.0004,0.0021,0.0002,0.0042,0.004,0.0025
2.0,0.0012,0.0003,0.0017,0.0003,0.0055,0.0037,0.002
3.0,0.0008,0.0002,0.0011,0.0004,0.0044,0.0027,0.0016
4.0,0.0004,0.0002,0.0004,0.0004,0.0014,0.0034,0.0007
5.0,0.0,0.006,0.0,0.0,0.0037,0.0118,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0053,0.0
7.0,0.0,0.0,0.0,0.0042,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0058,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0046,0.0001,0.0065,0.0
10.0,0.0,0.0,0.0,0.0066,0.0064,0.0,0.0
11.0,0.0,0.0133,0.0,0.0092,0.1481,0.0,0.0
12.0,0.0,0.0165,0.0,0.0113,0.1499,0.0,0.0
13.0,0.0018,0.001,0.0013,0.0006,0.0262,0.0124,0.0054
14.0,0.002,0.0008,0.0012,0.0004,0.0058,0.0106,0.0053
15.0,0.0019,0.0006,0.0012,0.0003,0.004,0.0081,0.005
16.0,0.0016,0.0007,0.0011,0.0003,0.0032,0.0075,0.0053
17.0,0.0012,0.0006,0.0008,0.0003,0.0027,0.0055,0.0053
18.0,0.0009,0.0006,0.0007,0.0003,0.0022,0.0043,0.0052
19.0,0.0013,0.0007,0.0012,0.0003,0.004,0.0051,0.0043
20.0,0.001,0.001,0.0009,0.0003,0.0075,0.0028,0.0017
21.0,0.0002,0.0079,0.0002,0.0011,0.0869,0.0006,0.0004
22.0,0.0001,0.0105,0.0001,0.0043,0.1501,0.0001,0.0
23.0,0.0,0.0089,0.0,0.0,0.1494,0.0,0.0
24.0,0.0,0.0,0.0,0.013,0.0045,0.0007,0.0
