Date,Time,Malvinas,KamaniI,KamaniO,ChiquintircaI,ChiquintircaO,HumayI,Mix101,Mix101_O,Chilca,LurinI,HumayO,LurinO,Pisco,Ica,Marcona,Nazca,SantaRosa,SantaAnita,Ventanilla,NG_Aguaytia
1/01/2016,00:00:00,0,0,0,0,0,0,0,0,6.311,0,0,0,3.443,4.304,4.304,0.86,34.438,34.438,6.311,0
1/01/2016,01:00:00,0,0,0,0,0,0,0,0,6.311,0,0,0,4.131,5.164,5.164,1.032,41.326,41.326,6.311,0
1/01/2016,02:00:00,0,0,0,0,0,0,0,0,6.311,0,0,0,4.476,5.596,5.596,1.118,44.77,44.77,6.311,0
1/01/2016,03:00:00,0,0,0,0,0,0,0,0,6.311,0,0,0,4.82,6.026,6.026,1.204,48.213,48.213,6.311,0
1/01/2016,04:00:00,0,0,0,0,0,0,0,0,6.311,0,0,0,5.164,6.457,6.457,1.29,51.657,51.657,6.311,0
1/01/2016,05:00:00,0,0,0,0,0,0,0,0,6.311,0,0,0,5.509,6.887,6.887,1.376,55.101,55.101,6.311,0
1/01/2016,06:00:00,0,0,0,0,0,0,0,0,6.311,0,0,0,6.886,8.608,8.608,1.72,68.875,68.875,6.311,0
1/01/2016,07:00:00,0,0,0,0,0,0,0,0,6.311,0,0,0,8.607,10.76,10.76,2.15,86.095,86.095,6.311,0
1/01/2016,08:00:00,0,0,0,0,0,0,0,0,6.311,0,0,0,10.329,12.912,12.912,2.58,103.314,103.314,6.311,0
1/01/2016,09:00:00,0,0,0,0,0,0,0,0,6.311,0,0,0,12.05,15.064,15.064,3.01,120.533,120.533,6.311,0
1/01/2016,10:00:00,0,0,0,0,0,0,0,0,6.311,0,0,0,13.772,17.217,17.217,3.44,137.752,137.752,6.311,0
1/01/2016,11:00:00,0,0,0,0,0,0,0,0,6.311,0,0,0,14.46,18.077,18.077,3.612,144.639,144.639,6.311,0
1/01/2016,12:00:00,0,0,0,0,0,0,0,0,6.311,0,0,0,14.805,18.508,18.508,3.698,148.083,148.083,6.311,0
1/01/2016,13:00:00,0,0,0,0,0,0,0,0,6.311,0,0,0,14.46,18.077,18.077,3.612,144.639,144.639,6.311,0
1/01/2016,14:00:00,0,0,0,0,0,0,0,0,6.311,0,0,0,13.772,17.217,17.217,3.44,137.752,137.752,6.311,0
1/01/2016,15:00:00,0,0,0,0,0,0,0,0,6.311,0,0,0,13.083,16.356,16.356,3.267,130.864,130.864,6.311,0
1/01/2016,16:00:00,0,0,0,0,0,0,0,0,6.311,0,0,0,12.738,15.924,15.924,3.182,127.42,127.42,6.311,0
1/01/2016,17:00:00,0,0,0,0,0,0,0,0,6.311,0,0,0,12.395,15.494,15.494,3.096,123.977,123.977,6.311,0
1/01/2016,18:00:00,0,0,0,0,0,0,0,0,6.311,0,0,0,13.083,16.356,16.356,3.267,130.864,130.864,6.311,0
1/01/2016,19:00:00,0,0,0,0,0,0,0,0,6.311,0,0,0,13.772,17.217,17.217,3.44,137.752,137.752,6.311,0
1/01/2016,20:00:00,0,0,0,0,0,0,0,0,6.311,0,0,0,14.46,18.077,18.077,3.612,144.639,144.639,6.311,0
1/01/2016,21:00:00,0,0,0,0,0,0,0,0,6.311,0,0,0,13.772,17.217,17.217,3.44,137.752,137.752,6.311,0
1/01/2016,22:00:00,0,0,0,0,0,0,0,0,6.311,0,0,0,12.05,15.064,15.064,3.01,120.533,120.533,6.311,0
1/01/2016,23:00:00,0,0,0,0,0,0,0,0,6.311,0,0,0,10.329,12.912,12.912,2.58,103.314,103.314,6.311,0
2/01/2016,00:00:00,0,0,0,0,0,0,0,0,5.136,0,0,0,2.802,3.502,3.502,0.7,28.026,28.026,5.136,0
2/01/2016,01:00:00,0,0,0,0,0,0,0,0,5.136,0,0,0,3.362,4.203,4.203,0.84,33.632,33.632,5.136,0
2/01/2016,02:00:00,0,0,0,0,0,0,0,0,5.136,0,0,0,3.643,4.554,4.554,0.91,36.434,36.434,5.136,0
2/01/2016,03:00:00,0,0,0,0,0,0,0,0,5.136,0,0,0,3.922,4.904,4.904,0.98,39.236,39.236,5.136,0
2/01/2016,04:00:00,0,0,0,0,0,0,0,0,5.136,0,0,0,4.203,5.254,5.254,1.05,42.039,42.039,5.136,0
2/01/2016,05:00:00,0,0,0,0,0,0,0,0,5.136,0,0,0,4.483,5.605,5.605,1.119,44.842,44.842,5.136,0
2/01/2016,06:00:00,0,0,0,0,0,0,0,0,5.136,0,0,0,5.604,7.006,7.006,1.4,56.052,56.052,5.136,0
2/01/2016,07:00:00,0,0,0,0,0,0,0,0,5.136,0,0,0,7.005,8.757,8.757,1.749,70.066,70.066,5.136,0
2/01/2016,08:00:00,0,0,0,0,0,0,0,0,5.136,0,0,0,8.406,10.508,10.508,2.1,84.079,84.079,5.136,0
2/01/2016,09:00:00,0,0,0,0,0,0,0,0,5.136,0,0,0,9.807,12.259,12.259,2.45,98.092,98.092,5.136,0
2/01/2016,10:00:00,0,0,0,0,0,0,0,0,5.136,0,0,0,11.207,14.011,14.011,2.799,112.105,112.105,5.136,0
2/01/2016,11:00:00,0,0,0,0,0,0,0,0,5.136,0,0,0,11.768,14.712,14.712,2.939,117.709,117.709,5.136,0
2/01/2016,12:00:00,0,0,0,0,0,0,0,0,5.136,0,0,0,12.048,15.062,15.062,3.009,120.512,120.512,5.136,0
2/01/2016,13:00:00,0,0,0,0,0,0,0,0,5.136,0,0,0,11.768,14.712,14.712,2.939,117.709,117.709,5.136,0
2/01/2016,14:00:00,0,0,0,0,0,0,0,0,5.136,0,0,0,11.207,14.011,14.011,2.799,112.105,112.105,5.136,0
2/01/2016,15:00:00,0,0,0,0,0,0,0,0,5.136,0,0,0,10.647,13.311,13.311,2.659,106.499,106.499,5.136,0
2/01/2016,16:00:00,0,0,0,0,0,0,0,0,5.136,0,0,0,10.367,12.96,12.96,2.589,103.696,103.696,5.136,0
2/01/2016,17:00:00,0,0,0,0,0,0,0,0,5.136,0,0,0,10.087,12.609,12.609,2.52,100.895,100.895,5.136,0
2/01/2016,18:00:00,0,0,0,0,0,0,0,0,5.136,0,0,0,10.647,13.311,13.311,2.659,106.499,106.499,5.136,0
2/01/2016,19:00:00,0,0,0,0,0,0,0,0,5.136,0,0,0,11.207,14.011,14.011,2.799,112.105,112.105,5.136,0
2/01/2016,20:00:00,0,0,0,0,0,0,0,0,5.136,0,0,0,11.768,14.712,14.712,2.939,117.709,117.709,5.136,0
