Node,G_L,Pre_ini,Pre_min,Pre_max,Type,Ord_NGN
Malvinas,0,0,85,95,TGP,1_Malvinas
KamaniI,0,0,60,130,TGP,2_KamaniI
KamaniO,0,0,70,150,TGP,3_KamaniO
ChiquintircaI,0,0,60,120,TGP,4_ChiquintircaI
ChiquintircaO,0,0,100,150,TGP,5_ChiquintircaO
HumayI,0,0,100,150,TGP,6_HumayI
Mix101,0,0,90,160,TGP,7_Mix101
Mix101_O,0,0,90,160,TGP,8_Mix101_O
Chilca,0,0,90,120,TGP,9_Chilca
LurinI,0,0,70,160,TGP,9.5_LurinI
HumayO,0,0,20,55,Contugas,1.1_HumayO
LurinO,0,0,20,55,Calidda,1.2_LurinO
Pisco,0,0,35,50,Contugas,2.1_Pisco
Ica,0,0,35,50,Contugas,3.1_Ica
Marcona,0,0,35,50,Contugas,4.1_Marcona
Nazca,0,0,35,50,Contugas,5.1_Nazca
SantaRosa,0,0,35,60,Calidda,3.2_SantaRosa
SantaAnita,0,0,35,60,Calidda,2.2_SantaAnita
Ventanilla,0,0,35,60,Calidda,4.2_Ventanilla
NG_Aguaytia,0,0,50,60,Aguat,0.5_NG_Aguaytia
