Date,Time,Zorritos220,Talara220,Piura220,LaNina220,LaNina500,Chiclayo220,Trujillo220,Trujillo500,Carhuaquero220,Cajamarca220,Caclic220,Belaunde220,Belaunde138,Juanjui138,TingoMaria138,TingoMaria220,Vizcarra220,Conococha220,KimanAyllu220,Paramonga220,Chimbote500,Chimbote220,Chimbote138,Huallanca138,KimanAyllu138,Paragsha138,Paragsha220,Zapallal220,Carabayllo220,Huanza220,Carhuamayo220,Ventanilla220,Carabayllo500,Pachachaca220,Chavarria220,SantaRosa220,SanJuan220,ChilcaRep220,ChilcaCTM220,Chilca500,Carapongo220,Carapongo500,Pomacocha220,Mantaro220,Independencia220,Ica220,Marcona220,Poroma220,Poroma500,Colcabamba220,Colcabamba500,Huancavelica220,SanJose500,Montalvo500,Yarabamba500,Montalvo220,Yarabamba220,Cotaruse220,Socabaya220,Moquegua220,LosHerores220,Suriray220,Abancay220,Tintaya220,Puno220,Suriray138,Machupicchu138,Cachimayo138,Abancay138,Quencoro138,Tintaya138,Azangaro138,SanRoman138,SanGaban138,PtoMaldonado138,Oroya220,Puno138,Aguaytia220,Planicie220,Cajamarquilla220,Ilo220,Campas220,Campas500
1/01/2016,00:00:00,40.897,23.566,238.388,12.905,0,143.413,193.45,0,14.384,93.07,4.433,0,32.437,10.013,6.673,0,160.864,0,9.582,69.564,0,0,152.787,36.635,15.11,77.845,5.067,85.987,92.007,0.282,111.306,153.323,0,0.368,561.209,227.214,626.753,179.044,13.087,10.651,125.847,0,216.524,58.336,208.052,37.482,190.168,50.055,0,1.895,0,15.392,281.693,1.072,0,0,0,199.432,350.264,259.005,3.151,0,17.241,225.791,0,0,4.406,43.468,17.327,27.107,49.47,43.982,0,15.709,10.202,75.733,24.379,34.981,91.777,224.447,50.792,0,0
1/01/2016,01:00:00,38.629,23.133,233.931,12.968,0,140.328,188.394,0,13.564,96.286,4.446,0,31.701,9.881,6.125,0,161.284,0,9.225,67.874,0,0,156.835,34.658,16.159,76.5,5.163,79.887,83.126,0.226,109.671,142.958,0,0.378,520.974,207.771,584.376,181.992,13.062,10.637,117.787,0,216.647,54.316,234.742,35.394,189.919,50.202,0,1.898,0,14.847,277.495,1.056,0,0,0,198.623,341.297,250.696,2.64,0,16.591,226.458,0,0,3.944,41.903,16.678,26.37,48.777,43.91,0,15.802,9.367,79.751,23.656,33.777,87.881,225.108,50.269,0,0
1/01/2016,02:00:00,37.627,23.127,228.6,12.94,0,136.419,183.697,0,12.726,95.504,4.305,0,30.656,9.653,5.733,0,159.818,0,9.271,65.099,0,0,157.068,33.752,16.16,75.07,4.897,75.686,78.402,0.192,106.304,135.442,0,0.375,494.919,196.352,552.039,178.927,12.895,10.532,120.26,0,215.085,52.791,234.777,32.398,188.463,49.753,0,1.872,0,15.407,275.024,1.038,0,0,0,197.645,343.958,250.434,3.134,0,16.085,224.423,0,0,3.742,40.762,16.171,27.11,49.208,43.176,0,15.522,8.959,78.197,22.927,32.319,85.608,223.083,49.034,0,0
1/01/2016,03:00:00,40.545,23.447,235.497,13.331,0,138.624,185.231,0,13.561,97.131,4.373,0,30.881,9.75,5.712,0,162.694,0,11.026,67.183,0,0,152.576,34.105,16.376,74.453,5.115,74.931,75.91,0.183,108.064,133.958,0,0.401,489.395,197.739,554.264,182.165,13.177,10.694,120.345,0,219.018,53.434,221.417,32.178,193.377,50.647,0,1.898,0,15.418,278.823,1.073,0,0,0,200.659,350.419,254.948,2.687,0,15.842,228.447,0,0,3.77,41.149,15.929,27.065,49.942,44.096,0,15.571,8.928,74.903,23.418,31.806,85.59,227.079,50.81,0,0
1/01/2016,04:00:00,41.519,23.772,235.725,13.429,0,140.036,189.674,0,13.638,97.715,4.497,0,31.943,10.899,5.854,0,164.647,0,10.761,69.185,0,0,150.644,34.331,16.053,75.548,5.352,76.331,77.336,0.184,110.242,136.962,0,0.414,496.203,201.575,561.264,181.974,13.316,10.799,123.775,0,221.117,57.216,227.017,36.945,194.738,51.219,0,1.93,0,16.107,283.231,1.089,0,0,0,201.22,355.015,265.335,2.615,0,16.721,231.059,0,0,4.098,41.685,16.808,26.22,50.192,44.051,0,14.56,8.967,75.286,24.639,33.737,87.871,229.684,51.296,0,0
1/01/2016,05:00:00,42.386,23.901,248.231,13.608,0,144.293,195.53,0,14.272,98.989,4.57,0,32.469,11.653,6.059,0,164.957,0,10.189,68.771,0,0,150.571,35.112,14.541,74.38,4.887,80.216,87.756,0.183,110.498,144.027,0,0.412,518.138,212.036,593.762,177.597,13.324,10.803,120.704,0,218.812,61.372,236.459,42.97,193.635,51.23,0,1.915,0,14.735,280.572,1.071,0,0,0,199.686,365.586,261.24,3.225,0,17.907,231.078,0,0,4.891,43.249,18.005,26.354,49.768,44.518,0,13.722,9.376,74.146,25.884,35.836,92.65,229.702,50.525,0,0
1/01/2016,06:00:00,43.066,23.549,245.975,12.955,0,147.538,204.054,0,18.314,97.206,4.536,0,34.606,12.641,5.904,0,163.788,0,10.404,66.564,0,0,147.902,32.699,13.082,73.529,4.731,75.619,95.333,0.18,106.889,139.367,0,0.415,528.49,225.697,623.753,168.542,13.314,10.719,125.719,0,215.088,65.192,210.194,42.573,192.797,43.68,0,1.733,0,13.486,273.392,1.053,0,0,0,187.828,372.089,258.363,2.156,0,18.664,229.465,0,0,5.012,45.521,18.76,31.169,48.209,45.402,0,14.502,10.233,65.851,25.73,42.132,102.47,228.09,49.828,0,0
1/01/2016,07:00:00,43.591,22.987,250.474,12.881,0,160.335,220.029,0,21.826,91.612,4.761,0,39,13.446,6.455,0,160.912,0,9.066,67.29,0,0,144.661,35.044,13.163,74.503,4.532,80.778,106.675,0.177,105.811,148.238,0,0.41,570.722,245.422,677.616,164.725,12.963,10.543,130.933,0,210.047,74.269,210.03,50.337,189.106,44.07,0,1.602,0,16.789,269.272,1.058,0,0,0,187.357,374.155,235.629,2.365,0,19.438,225.579,0,0,5.544,46.902,19.534,35.64,47.12,47.968,0,15.325,11.989,69.096,27.236,52.54,126.223,224.236,49.021,0,0
1/01/2016,08:00:00,47.085,24.96,270.45,12.515,0,174.288,237.526,0,24.78,93.285,5.317,0,45.1,14.588,7.532,0,161.498,0,9.496,71.442,0,0,146.699,36.925,15.118,77.519,4.556,91.199,118.758,0.178,109.002,165.313,0,0.391,638.298,281.464,758.864,178.718,13.116,10.561,141.52,0,212.389,82.14,205.36,54.666,190.556,43.892,0,1.699,0,18.602,270.683,1.066,0,0,0,189.216,399.688,238.402,2.235,0,18.847,226.293,0,0,6.149,47.227,18.932,36.038,48.533,50.456,0,15.553,13.83,65.138,29.274,59.217,144.875,224.939,48.701,0,0
1/01/2016,09:00:00,46.248,26.47,269.679,11.81,0,171.065,237.591,0,25.682,92.916,5.44,0,48.125,15.058,7.861,0,155.682,0,9.735,71.713,0,0,141.757,36.798,15.35,76.581,4.654,95.16,123.135,0.175,107.337,170.977,0,0.362,659.379,293.068,772.375,180.385,12.557,10.197,146.958,0,206.679,83.539,208.521,56.399,188.641,45.787,0,1.811,0,18.401,266.522,1.002,0,0,0,191.107,395.213,221.703,2.295,0,19.347,218.243,0,0,5.882,46.995,19.431,36.919,47.336,51.542,0,15.086,15.27,60.695,29.422,60.081,149.791,216.937,47.126,0,0
