branch,from,to,x_pu,Pmax_MW,status,r_pu
L-2249,Talara220,Zorritos220,0.001415,152,1,0.000183419
L-2250,Piura220,Talara220,0.001090599,178,1,0.00012513
L-2295-48,Piura220,Talara220,0.001084494,178,1,0.000154246
L-2241,Piura220,LaNina220,0.0010728,170,1,0.000166901
L-2162,Piura220,LaNina220,0.00091211,180,1,0.000156591
L-2239,LaNina220,Chiclayo220,0.001243901,170,1,0.000204031
L-2164-38,LaNina220,Chiclayo220,0.001253252,180,1,0.000216419
L-2296-36-34,Chiclayo220,Trujillo220,0.00192688,180,1,0.00033911
L-2297-37-35,Chiclayo220,Trujillo220,0.00192625,180,1,0.000339
L-2232,Trujillo220,Chimbote220,0.0013264,152,1,0.00018515
L-2233,Trujillo220,Chimbote220,0.0013258,152,1,0.00015842
L-2215,Chimbote220,Paramonga220,0.0021934,180,1,0.00041117
L-2216,Chimbote220,Paramonga220,0.0021934,180,1,0.00041117
L-2213-12,Paramonga220,Zapallal220,0.001418223,180,1,0.000245966
L-2279-14-17,Paramonga220,Zapallal220,0.001419218,180,1,0.000246081
L-2242,Zapallal220,Ventanilla220,0.00018429,250,1,0.0000328
L-2243,Zapallal220,Ventanilla220,0.00018429,250,1,0.0000328
L-2107,Zapallal220,Carabayllo220,0.0000593,476,1,0.00000657
L-2108,Zapallal220,Carabayllo220,0.0000593,476,1,0.00000657
L-2244,Ventanilla220,Chavarria220,0.00010921,180,1,0.000019
L-2245,Ventanilla220,Chavarria220,0.00010921,180,1,0.000019
L-2246,Ventanilla220,Chavarria220,0.00011365,180,1,0.0000199
L-2247,Ventanilla220,Chavarria220,0.00010921,180,1,0.000019
L-2003,Chavarria220,SantaRosa220,0.000087,149,1,0.0000128
L-2004,Chavarria220,SantaRosa220,0.000087,149,1,0.0000128
L-2011,SantaRosa220,SanJuan220,0.00026827,229,1,0.0000395
L-2010-18,SantaRosa220,SanJuan220,0.00026828,229,1,0.0000395
L-2092,SanJuan220,ChilcaRep220,0.00035393,353,1,0.0000609
L-2093,SanJuan220,ChilcaRep220,0.00035969,353,1,0.0000269
L-2094,SanJuan220,ChilcaRep220,0.00034174,353,1,0.0000587
L-2095,SanJuan220,ChilcaRep220,0.00034174,353,1,0.0000587
L-R26,ChilcaRep220,ChilcaCTM220,0.00026872,758,1,0.0000008
L-2091,ChilcaRep220,Independencia220,0.001686,180,1,0.00028546
L-2090,ChilcaRep220,Independencia220,0.0016828,180,1,0.00028507
L-2209,Independencia220,Ica220,0.00056069,150,1,0.000095
L-2210,Independencia220,Ica220,0.00056069,170,1,0.000095
L-2211,Ica220,Marcona220,0.0015692,180,1,0.00026571
L-2292,Marcona220,Poroma220,0.00014559,350,1,0.000019
L-2293,Marcona220,Poroma220,0.00014559,350,1,0.000019
L-2190,Chiclayo220,Carhuaquero220,0.00075777,300,1,0.0000831
L-2240,Carhuaquero220,Chiclayo220,0.00069744,145,1,0.0001281
L-2260,Trujillo220,Cajamarca220,0.0013946,167,1,0.00015495
L-2192,Cajamarca220,Caclic220,0.0012176,220,1,0.00013822
L-2194,Caclic220,Belaunde220,0.0011154,220,1,0.00012292
L-2278,Paramonga220,Conococha220,0.0010383,180,1,0.00011823
L-2269,Conococha220,KimanAyllu220,0.0017346,180,1,0.00032517
L-2270,Conococha220,KimanAyllu220,0.0017346,180,1,0.00032517
L-2272,KimanAyllu220,Cajamarca220,0.001842789,240,1,0.000212843
L-2274,KimanAyllu220,Cajamarca220,0.001842789,240,1,0.000212843
L-2253,Conococha220,Vizcarra220,0.0004883,190,1,0.0000556
L-2264,Conococha220,Paragsha220,0.0014372,174,1,0.00018666
L-2254,Vizcarra220,Paragsha220,0.0012656,250,1,0.00013618
L-2252,TingoMaria220,Vizcarra220,0.0018123,190,1,0.00020635
L-2251,TingoMaria220,Aguaytia220,0.00076449,190,1,0.000087
L-2258,Paragsha220,Carhuamayo220,0.00043106,185,1,0.0000464
L-2267,Paragsha220,Carhuamayo220,0.00043107,185,1,0.0000464
L-2268,Paragsha220,Carhuamayo220,0.00043107,185,1,0.0000464
L-2259,Oroya220,Carhuamayo220,0.00077122,160,1,0.000083
L-2224,Pachachaca220,Oroya220,0.00022738,250,1,0.00002355
L-2219,Pachachaca220,Mantaro220,0.0020222,160,1,0.00024191
L-2218,Pachachaca220,Mantaro220,0.0020222,160,1,0.00024191
L-2220,Mantaro220,Huanza220,0.003124718,160,1,0.000354404
L-2110,Huanza220,Carabayllo220,0.00080578,160,1,0.0000933
L-2222,Pachachaca220,Carapongo220,0.001075789,170,1,0.00013515
L-2223,Pachachaca220,Carapongo220,0.00106381,170,1,0.00013337
L-2709,Carapongo220,Cajamarquilla220,0.0000554,340,1,0.0000082
L-2708,Carapongo220,Cajamarquilla220,0.0000554,340,1,0.00000821
L-2014,Cajamarquilla220,Chavarria220,0.00021989,339,1,0.00003255
L-2015,Cajamarquilla220,Chavarria220,0.00021989,339,1,0.00003255
L-2701,Carapongo220,SantaRosa220,0.00021799,342,1,0.0000319
L-2702,Carapongo220,SantaRosa220,0.000218,343,1,0.0000319
L-2201,Mantaro220,Pomacocha220,0.0020246,155,1,0.00024226
L-2202,Mantaro220,Pomacocha220,0.0020246,155,1,0.00024226
L-2205,Pomacocha220,SanJuan220,0.0011358,155,1,0.00014139
L-2206,Pomacocha220,SanJuan220,0.0011358,155,1,0.00014139
L-2103,Carabayllo220,Planicie220,0.00039689,350,1,0.00005395
L-2104,Carabayllo220,Planicie220,0.00039689,350,1,0.00005395
L-2105,Planicie220,ChilcaCTM220,0.00030976,350,1,0.0000421
L-2106,Planicie220,ChilcaCTM220,0.00030976,350,1,0.0000421
L-2203,Mantaro220,Huancavelica220,0.00072787,152,1,0.0000838
L-2204,Mantaro220,Huancavelica220,0.00072787,152,1,0.0000838
L-2051,Mantaro220,Cotaruse220,0.00081647,505,1,0.00024054
L-2052,Mantaro220,Cotaruse220,0.00081647,505,1,0.00024054
R28,Mantaro220,Colcabamba220,0.00032903,1000,1,0.00000089
L-2132,Independencia220,Huancavelica220,0.00189,152,1,0.00022523
L-2231,Independencia220,Huancavelica220,0.0019796,152,1,0.00022784
L-2053,Cotaruse220,Socabaya220,0.0008751,505,1,0.00025772
L-2054,Cotaruse220,Socabaya220,0.0008751,505,1,0.00025772
L-2025,Socabaya220,Moquegua220,0.0010827,160,1,0.00014597
L-2026,Socabaya220,Moquegua220,0.0010827,160,1,0.00014597
L-2029,Moquegua220,LosHerores220,0.001314,160,1,0.00015781
L-2036,LosHerores220,Montalvo220,0.0013612,250,1,0.00016349
L-2057,Moquegua220,Montalvo220,0.0000405,700,1,0.0000032
L-2022,Socabaya220,Tintaya220,0.0010827,150,1,0.00014597
L-2023,Socabaya220,Tintaya220,0.0010827,150,1,0.00014597
L-2059,Cotaruse220,Suriray220,0.0019643,350,1,0.00019184
L-2060,Cotaruse220,Abancay220,0.0013958,350,1,0.00013631
L-2050,Abancay220,Suriray220,0.00056851,350,1,0.0000555
L-2030,Moquegua220,Puno220,0.002022541,150,1,0.000189917
AT91_LANina,LaNina220,LaNina500,0.001377428,600,1,0.0000153
L-5010,Trujillo500,LaNina500,0.002143079,700,1,0.000161467
AT85-523,Trujillo220,Trujillo500,0.001155217,720,1,0.00000857
L-5008,Trujillo500,Chimbote500,0.000891839,600,1,0.0000585
AT84-523,Chimbote220,Chimbote500,0.001155217,720,1,0.00000857
L-5006,Chimbote500,Carabayllo500,0.002434917,600,1,0.000159298
T500_220CRB,Carabayllo220,Carabayllo500,0.000688688,1200,1,0.00000062
L-5003,Carapongo500,Carabayllo500,0.000183419,866,1,0.0000182
AT-114,Carapongo220,Carapongo500,0.001120506,750,1,0.00000966
L-5001,Chilca500,Carapongo500,0.000413946,1400,1,0.0000413
AT72_500_220,Chilca500,ChilcaCTM220,0.001377428,600,1,0.00000119
L-5032,Chilca500,Poroma500,0.002594525,700,1,0.000189979
AUT-5371,Poroma500,Poroma220,0.001652893,450,1,0.0000191
L-5031,Poroma500,Colcabamba500,0.001233058,1400,1,0.000165186
TR_COLCABAM,Colcabamba500,Colcabamba220,0.001115702,750,1,0.000000775
L-5034,Poroma500,SanJose500,0.001104184,700,1,0.000220971
L-5033_CS,Poroma500,Yarabamba500,0.001237965,1400,1,0.000237552
L-5037,SanJose500,Montalvo500,0.00030625,700,1,0.0000633
