Date,Time,CS_Majes,CH_Carpapata,CS_Reparticion,CT_Paramonga,CT_Huaycoloro,CH_LaJoya,CH_SantaCruz,CH_Huasahuasi,CH_Roncador,CH_Purmacana,CH_NuevoImperial,CT_Maple,CS_Tacna,CS_Panamericana,CH_Pizarras,CH_Pias,CH_Poechos1,CE_Talara,CE_Cupisnique,CH_Electroriente,CH_Curumuy,CH_Poechos2,CH_Cancahyllo,CH_Chancay,CH_Rucuy,CH_Runatullo,CH_Runatullo3,CT_LaGringa,CS_Moquegua,CE_Marcona,CE_3Hermanas,CH_Yanapampa,CT_Tablazo,CH_Potrero,CH_Maranion,Cs_Rubi,CH_Yarucaya,CS_Intipampa,CH_Her,CH_ElAngel,CT_DonCatalina,CE_Wayra,CH_Zania,CH_8Ago,CH_Renovandes,CH_ElCarmen,CT_CaniaBrava,CT_SanJacinto,CH_Manta,CT_Callao,CE_Huambos,CE_Duna,CT_Tallanca,CH_SantaRosa,CS_Yarucaya,CS_Clemesi,CE_San Juan,CE_Punta Lomitas,CE_Wayra 2
1/01/2016,00:00:00,0,23.78,0,13,2.85,7.5,4.1,9.85,2.5,0,3.2,19.9,0,0,14.59,10.66,8,6,13,7.87,6,4,2.35,17.12,10.7,6,9,2.8,0,22,26.3,2.8,18.4,10,19.31,0,17.7,0,0.3,24.5,1.2,0.38,12.84,15.56,19.46,4,10.7,7.1,0,2,8.32,10.33,18,2.13,0,0,0,155.2,0
1/01/2016,01:00:00,0,24.32,0,13,2.8,7.5,4.1,9.85,2.5,0,3.2,20.39,0,0,14.59,10.67,8,9,12,7.87,6,4,2.35,17.12,10.7,6,9,2.8,0,16.2,48.75,2.8,18.4,10,19.31,0,17.7,0,0.3,24.5,1.2,0,12.84,15.56,19.46,4,10.7,6.85,0,2,8.93,10.93,18,2.13,0,0,0,160.35,0
1/01/2016,02:00:00,0,24.29,0,13,2.8,7.5,4.1,9.85,2.5,0,3.2,20.39,0,0,14.59,10.66,8,10,12,7.87,6,4,2.35,17.12,10.7,6,9,2.8,0,26.4,72.4,2.8,18.4,10,19.31,0,17.7,0,0.3,24.5,1.2,0,12.84,15.56,19.46,4,10.7,7.6,0,2,9.71,11.71,18,2.13,0,0,0,162.8,0
1/01/2016,03:00:00,0,23.89,0,13,2.8,7.5,4.1,9.85,2.5,0,3.2,20.39,0,0,14.59,10.66,8,9,10,7.87,6,4,2.35,17.12,10.7,6,9,2.8,0,27.1,81.75,2.8,18.4,10,19.31,0,17.7,0,0.3,24.5,1.2,0,12.84,15.56,19.46,4,10.7,7.8,0,2,9.87,11.87,18,2.13,0,0,0,163.9,0
1/01/2016,04:00:00,0,24.14,0,13,2.8,7.5,4.1,9.85,2.5,0,3.2,19.95,0,0,14.59,10.66,8,9,10,7.87,6,4,2.35,17.12,10.7,6,9,2.8,0,26.5,78.4,2.8,18.4,10,19.31,0,17.7,0,0.3,24.5,1.2,0,12.84,15.56,19.46,4,10.7,7.35,0,2,10.25,12.25,18,2.13,0,0,0,164.45,0
1/01/2016,05:00:00,0.01,24.23,0.02,13,2.8,7.5,4.1,9.85,2.5,0,3.2,20,0.31,0.13,14.59,9.92,8,9,12,7.86,6,4,2.35,17.12,10.7,6,9,2.8,0.19,24.25,69,2.8,18.4,10,19.31,4.3,17.7,0,0.3,24.5,1.2,0,12.84,15.56,19.46,4,10.7,7.7,0,2,10.18,12.18,18,2.13,0,0,0,159.25,0
1/01/2016,06:00:00,1.82,24.11,1.66,13,2.8,7.5,4.1,9.85,2.2,0,3.2,20,5.87,7.91,14.59,8.55,8,9,12,5.25,6,4,2.35,17.12,10.7,6,9,2.8,6.93,20.35,59.35,2.8,18.4,10,19.31,48.24,17.7,3.67,0.3,24.5,1.2,0.16,12.84,15.56,19.46,4,10.7,7.35,0,2,9.84,11.84,18,2.13,0.05,1.6,0,147.7,0
1/01/2016,07:00:00,5.84,24.25,5.7,13,2.8,7.5,4.1,9.85,2.2,0,3.2,20.15,13.11,16.01,14.59,0,8,6,8,5.32,6,4,0,17.12,10.7,6,9,2.8,12.94,17.2,50,2.8,18.4,10,19.31,108.45,17.7,19,0.3,24.5,1.2,1.6,12.84,15.56,19.46,4,10.7,7.35,0,2,10.23,12.23,18,2.13,0.1,7.5,0,160.55,0
1/01/2016,08:00:00,10.18,24.11,9.63,13,2.8,7.5,4.1,9.85,2.2,0,3.2,20.39,17.6,15.68,14.59,0,8,6,4,7.82,6,4,0,17.12,10.7,6,9,2.8,13.88,18.75,54.6,2.8,18.4,10,19.31,125.53,17.7,28.88,0.3,24.5,1.2,4.05,12.84,15.56,19.46,4,10.7,7.9,0,2,9.42,11.42,18,2.13,0.66,9.25,0,154.35,0
1/01/2016,09:00:00,12.9,24.77,11.52,13,2.8,7.5,4.1,9.85,2.2,0,3.2,20.3,18.97,17.36,14.59,0,8,5,4,7.85,6,4,0,17.12,10.7,6,9,2.8,14.1,16.2,34.75,2.8,18.4,10,19.31,124.9,17.7,29.71,0.3,24.5,1.2,1.17,12.84,15.56,19.46,4,10.7,7,0,2,8.82,10.83,18,2.13,1,13.8,0,148.9,0
1/01/2016,10:00:00,14.49,24.23,13.82,13,2.8,7.5,4.1,9.85,2.2,0,3.2,19.65,18.89,17.91,14.59,10.72,8,5,10,7.9,6,4,0,17.12,10.7,6,9,2.8,14.65,17.55,43.85,2.8,18.4,10,19.31,122.27,17.7,29,0.3,24.5,1.2,3.29,12.84,15.56,19.46,4,10.7,6.35,0,2,8.9,10.9,18,2.13,1.16,24.1,0,134,0
1/01/2016,11:00:00,15.47,24.33,13.6,13,2.8,7.5,4.1,9.85,2.2,0,3.2,20.39,18.86,16.33,14.59,10.86,8,6,12,7.86,6,4,0,17.12,10.7,6,9,2.8,13.59,19.05,38.75,2.8,18.4,10,19.31,121.79,17.7,29.67,0.3,24.5,1.2,15.24,12.84,15.56,19.46,4,10.7,6.6,0,2,9.92,11.92,18,2.13,1.17,35.3,0,131.5,0
1/01/2016,12:00:00,15.56,24.44,14.06,13,2.8,7.5,4.1,9.85,2.2,0,3.2,18.8,17.96,16.24,14.59,9.82,8,12,20,7.87,6,4,0,17.12,10.7,6,9,2.8,13.17,20.55,39.25,2.8,18.4,10,19.31,123.38,17.7,28.5,0.3,24.5,1.2,32.89,12.84,15.56,19.46,4,10.7,6.3,0,2,11.65,13.65,18,2.13,1.17,48.55,0,124.35,0
1/01/2016,13:00:00,15.74,24.37,13.41,13,2.8,7.5,4.1,9.85,2.2,0,3.2,20.39,18.95,17.35,14.59,10.78,8,13,34,7.88,6,4,0,17.12,10.7,6,9,2.8,13.79,19.8,38.45,2.8,18.4,10,19.31,125.79,17.7,28.5,0.3,24.5,1.2,57.54,12.84,15.56,19.46,4,10.7,6.45,0,2,12.66,14.66,18,2.13,1.07,60.5,0,121.9,0
1/01/2016,14:00:00,12.73,24.53,10.74,13,2.8,7.5,4.1,9.85,2.2,0,3.2,20.39,18.72,10.77,14.59,11.34,8,16,39,7.88,6,4,0,17.12,10.7,6,9,2.8,8.87,21.6,35.6,2.8,18.4,10,19.31,121.08,17.7,28.71,0.3,24.5,1.2,84.03,12.84,15.56,19.46,4,10.7,6.7,0,2,12.72,14.72,18,2.13,0.92,62.25,0,139.2,0
1/01/2016,15:00:00,9.17,23.9,8.11,13,2.8,7.5,4.1,9.85,2.2,0,3.2,20.39,10.8,5.23,14.59,11.44,8,15,79,5.67,6,4,0,17.12,10.7,6,9,2.8,5.05,24.4,34.15,2.8,18.4,10,19.31,78,17.7,17.11,0.3,24.5,1.2,99.05,12.84,15.56,19.46,4,10.7,6.5,0,2,11.75,13.75,18,2.13,0.65,54.85,0,149.25,0
1/01/2016,16:00:00,4.87,24.7,3.72,13,2.8,7.5,4.1,9.85,2.2,0,3.2,20.39,3.47,4.69,14.59,11.4,8,15,79,3.92,6,4,0,17.12,10.7,6,9,2.8,3.92,25.25,32.5,2.8,18.4,10,19.31,16.09,17.7,3.8,0.3,24.5,1.2,106.45,12.84,15.56,19.46,4,10.7,5.6,0,2,9.18,11.18,18,2.13,0.4,15.1,0,156.6,0
1/01/2016,17:00:00,1.28,24.16,1.17,13,2.8,7.5,4.1,9.85,2.2,0,3.2,20.39,2.88,2.8,14.59,10.35,8,15,79,7.78,6,9.78,2.35,17.12,10.7,6,9,2.8,2.51,22.75,21.8,2.8,18.4,10,19.31,0.46,17.7,0,0.3,24.5,1.2,105.6,12.84,15.56,19.46,4,10.7,5.25,0,2,9.24,11.23,18,2.13,0.08,0.2,0,168.7,0
1/01/2016,18:00:00,0,24.14,0,13,2.8,7.5,4.1,9.85,2.5,0,3.2,20.39,0.18,0.01,14.59,8.6,8,15,46,7.81,6,15.56,2.35,17.12,10.7,6,9,2.8,0.07,22.75,10.05,2.8,18.4,10,19.31,0,17.7,0,0.3,24.5,1.2,85.11,12.84,15.56,19.46,4,10.7,7.1,0,2,10.27,12.27,18,2.13,0,0,0,169.25,0
1/01/2016,19:00:00,0,24.06,0,13,2.8,7.5,4.1,9.85,2.5,0,3.2,20.39,0,0,14.59,9.4,8,12,42,7.81,6,15.56,2.35,17.12,10.7,6,9,2.8,0,27.5,9.2,2.8,18.4,10,19.31,0,17.7,0,0.3,24.5,1.2,72.3,12.84,15.56,19.46,4,10.7,7.8,0,2,9.56,11.56,18,2.13,0,0,0,171.2,0
1/01/2016,20:00:00,0,24.37,0,13,2.8,7.5,4.1,9.85,2.5,0,3.2,20.39,0,0,14.59,10.66,8,13,39,7.8,6,15.56,2.35,17.12,10.7,6,9,2.8,0,29.05,5.4,2.8,18.4,10,19.31,0,17.7,0,0.3,24.5,1.2,41.74,12.84,15.56,19.46,4,10.7,7.85,0,2,8.12,10.12,18,2.13,0,0,0,170.7,0
1/01/2016,21:00:00,0,24.4,0,13,2.8,7.5,4.1,9.85,2.5,0,3.2,20.05,0,0,14.59,11.14,8,15,34,7.79,6,9.78,2.35,17.12,10.7,6,9,2.8,0,28.85,0.25,2.8,18.4,10,19.31,0,17.7,0,0.3,24.5,1.2,22.44,12.84,15.56,19.46,4,10.7,7.6,0,2,8.27,10.27,18,2.13,0,0,0,162.05,0
1/01/2016,22:00:00,0,24.33,0,13,2.8,7.5,4.1,9.85,2.5,0,3.2,20.39,0,0,14.59,11.6,8,16,34,7.8,6,4,2.35,17.12,10.7,6,9,2.8,0,27.5,0.3,2.8,18.4,10,19.31,0,17.7,0,0.3,24.5,1.2,12.69,12.84,15.56,19.46,4,10.7,7,0,2,9.59,11.59,18,2.13,0,0,0,157.8,0
1/01/2016,23:00:00,0,24.03,0,13,2.8,7.5,4.1,9.85,2.5,0,3.2,20.39,0,0,14.59,11.49,8,16,25,7.8,6,4,2.35,17.12,10.7,6,9,2.8,0,29.5,3.15,2.8,18.4,10,19.31,0,17.7,0,0.3,24.5,1.2,10.32,12.84,15.56,19.46,4,10.7,7.3,0,2,10.51,12.51,18,2.13,0,0,0,158.7,0
2/01/2016,00:00:00,0,23.78,0,13,2.85,7.5,4.1,9.85,2.5,0,3.2,19.9,0,0,14.59,10.66,8,6,13,7.87,6,4,2.35,17.12,10.7,6,9,2.8,0,22,26.3,2.8,18.4,10,19.31,0,17.7,0,0.3,24.5,1.2,0.38,12.84,15.56,19.46,4,10.7,7.1,0,2,8.32,10.33,18,2.13,0,0,0,155.2,0
2/01/2016,01:00:00,0,24.32,0,13,2.8,7.5,4.1,9.85,2.5,0,3.2,20.39,0,0,14.59,10.67,8,9,12,7.87,6,4,2.35,17.12,10.7,6,9,2.8,0,16.2,48.75,2.8,18.4,10,19.31,0,17.7,0,0.3,24.5,1.2,0,12.84,15.56,19.46,4,10.7,6.85,0,2,8.93,10.93,18,2.13,0,0,0,160.35,0
2/01/2016,02:00:00,0,24.29,0,13,2.8,7.5,4.1,9.85,2.5,0,3.2,20.39,0,0,14.59,10.66,8,10,12,7.87,6,4,2.35,17.12,10.7,6,9,2.8,0,26.4,72.4,2.8,18.4,10,19.31,0,17.7,0,0.3,24.5,1.2,0,12.84,15.56,19.46,4,10.7,7.6,0,2,9.71,11.71,18,2.13,0,0,0,162.8,0
2/01/2016,03:00:00,0,23.89,0,13,2.8,7.5,4.1,9.85,2.5,0,3.2,20.39,0,0,14.59,10.66,8,9,10,7.87,6,4,2.35,17.12,10.7,6,9,2.8,0,27.1,81.75,2.8,18.4,10,19.31,0,17.7,0,0.3,24.5,1.2,0,12.84,15.56,19.46,4,10.7,7.8,0,2,9.87,11.87,18,2.13,0,0,0,163.9,0
2/01/2016,04:00:00,0,24.14,0,13,2.8,7.5,4.1,9.85,2.5,0,3.2,19.95,0,0,14.59,10.66,8,9,10,7.87,6,4,2.35,17.12,10.7,6,9,2.8,0,26.5,78.4,2.8,18.4,10,19.31,0,17.7,0,0.3,24.5,1.2,0,12.84,15.56,19.46,4,10.7,7.35,0,2,10.25,12.25,18,2.13,0,0,0,164.45,0
2/01/2016,05:00:00,0.01,24.23,0.02,13,2.8,7.5,4.1,9.85,2.5,0,3.2,20,0.31,0.13,14.59,9.92,8,9,12,7.86,6,4,2.35,17.12,10.7,6,9,2.8,0.19,24.25,69,2.8,18.4,10,19.31,4.3,17.7,0,0.3,24.5,1.2,0,12.84,15.56,19.46,4,10.7,7.7,0,2,10.18,12.18,18,2.13,0,0,0,159.25,0
2/01/2016,06:00:00,1.82,24.11,1.66,13,2.8,7.5,4.1,9.85,2.2,0,3.2,20,5.87,7.91,14.59,8.55,8,9,12,5.25,6,4,2.35,17.12,10.7,6,9,2.8,6.93,20.35,59.35,2.8,18.4,10,19.31,48.24,17.7,3.67,0.3,24.5,1.2,0.16,12.84,15.56,19.46,4,10.7,7.35,0,2,9.84,11.84,18,2.13,0.05,1.6,0,147.7,0
2/01/2016,07:00:00,5.84,24.25,5.7,13,2.8,7.5,4.1,9.85,2.2,0,3.2,20.15,13.11,16.01,14.59,0,8,6,8,5.32,6,4,0,17.12,10.7,6,9,2.8,12.94,17.2,50,2.8,18.4,10,19.31,108.45,17.7,19,0.3,24.5,1.2,1.6,12.84,15.56,19.46,4,10.7,7.35,0,2,10.23,12.23,18,2.13,0.1,7.5,0,160.55,0
2/01/2016,08:00:00,10.18,24.11,9.63,13,2.8,7.5,4.1,9.85,2.2,0,3.2,20.39,17.6,15.68,14.59,0,8,6,4,7.82,6,4,0,17.12,10.7,6,9,2.8,13.88,18.75,54.6,2.8,18.4,10,19.31,125.53,17.7,28.88,0.3,24.5,1.2,4.05,12.84,15.56,19.46,4,10.7,7.9,0,2,9.42,11.42,18,2.13,0.66,9.25,0,154.35,0
2/01/2016,09:00:00,12.9,24.77,11.52,13,2.8,7.5,4.1,9.85,2.2,0,3.2,20.3,18.97,17.36,14.59,0,8,5,4,7.85,6,4,0,17.12,10.7,6,9,2.8,14.1,16.2,34.75,2.8,18.4,10,19.31,124.9,17.7,29.71,0.3,24.5,1.2,1.17,12.84,15.56,19.46,4,10.7,7,0,2,8.82,10.83,18,2.13,1,13.8,0,148.9,0
2/01/2016,10:00:00,14.49,24.23,13.82,13,2.8,7.5,4.1,9.85,2.2,0,3.2,19.65,18.89,17.91,14.59,10.72,8,5,10,7.9,6,4,0,17.12,10.7,6,9,2.8,14.65,17.55,43.85,2.8,18.4,10,19.31,122.27,17.7,29,0.3,24.5,1.2,3.29,12.84,15.56,19.46,4,10.7,6.35,0,2,8.9,10.9,18,2.13,1.16,24.1,0,134,0
