unit,node,Combustible
CS_Majes,Socabaya220,Solar
CH_Carpapata,Oroya220,Agua
CS_Reparticion,Socabaya220,Solar
CT_Paramonga,Paramonga220,Biocombustible
CT_Huaycoloro,Carapongo220,Biocombustible
CH_LaJoya,Socabaya220,Agua
CH_SantaCruz,Huallanca138,Agua
CH_Huasahuasi,Oroya220,Agua
CH_Roncador,Paramonga220,Agua
CH_Purmacana,Paramonga220,Agua
CH_NuevoImperial,ChilcaRep220,Agua
CT_Maple,Piura220,Biocombustible
CS_Tacna,LosHerores220,Solar
CS_Panamericana,Ilo220,Solar
CH_Pizarras,Carhuaquero220,Agua
CH_Pias,KimanAyllu138,Agua
CH_Poechos1,Piura220,Agua
CE_Talara,Piura220,Eólico
CE_Cupisnique,Trujillo220,Eólico
CH_Electroriente,Juanjui138,Agua
CH_Curumuy,Piura220,Agua
CH_Poechos2,Piura220,Agua
CH_Cancahyllo,Oroya220,Agua
CH_Chancay,Zapallal220,Agua
CH_Rucuy,Zapallal220,Agua
CH_Runatullo,Carabayllo220,Agua
CH_Runatullo3,Carabayllo220,Agua
CT_LaGringa,Carapongo220,Biocombustible
CS_Moquegua,Ilo220,Solar
CE_Marcona,Marcona220,Eólico
CE_3Hermanas,Marcona220,Eólico
CH_Yanapampa,Paramonga220,Agua
CT_Tablazo,Piura220,Biocombustible
CH_Potrero,Cajamarca220,Agua
CH_Maranion,Vizcarra220,Agua
Cs_Rubi,Montalvo500,Solar
CH_Yarucaya,Paramonga220,Agua
CS_Intipampa,Moquegua220,Solar
CH_Her,Carapongo220,Agua
CH_ElAngel,SanGaban138,Agua
CT_DonCatalina,Carapongo220,Biocombustible
CE_Wayra,Poroma220,Eólico
CH_Zania,Chiclayo220,Agua
CH_8Ago,TingoMaria138,Agua
CH_Renovandes,Paragsha138,Agua
CH_ElCarmen,TingoMaria138,Agua
CT_CaniaBrava,Piura220,Biocombustible
CT_SanJacinto,Piura220,Biocombustible
CH_Manta,KimanAyllu138,Agua
CT_Callao,Ventanilla220,Biocombustible
CE_Huambos,Carhuaquero220,Eólico
CE_Duna,Carhuaquero220,Eólico
CT_Tallanca,Piura220,Biocombustible
CH_SantaRosa,Paramonga220,Agua
CS_Yarucaya,Paramonga220,Solar
CS_Clemesi,Montalvo500,Solar
CE_San Juan,Marcona220,Eólico
CE_Punta Lomitas,Ica220,Eólico
CE_Wayra 2,Poroma220,Eólico
