Unit,node,Pmax,Pmin,q,Ren,cost,emb,Vmin,Vmax,Vi,Vf,Disp
CH_Huinco,Carapongo220,277.9,20,13.585,10.228,0.5,1,0.15,0.43,0.29,0.178,1
CH_Matucana,Carapongo220,137.02196,20,7.92,8.6504,0.5,1,0.02,0.06,0.04,0.024,1
CH_Callahuanca,Carapongo220,84.375,8,12.35,3.416,0.5,0,0,0,0,0,1
CH_Huampani,Carapongo220,30.85,6,10.593,1.4561,0.5,0,0,0,0,0,1
CH_Moyopampa,SanJuan220,69.148,8,9.658,3.5798,0.5,0,0,0,0,0,1
CH_Mantaro,Mantaro220,678.714,30,53,6.403,0.5,1,1.4121,3.4454,2.42875,1.61543,1
CH_Restitucion,Mantaro220,219.436,35,52.565,2.0873,0.5,0,0,0,0,0,1
CH_Oroya,Oroya220,9.09,1,3.281,1.3851,0.5,0,0,0,0,0,1
CH_Pachachaca,Oroya220,9.743,0.37,3.303,1.475,0.5,0,0,0,0,0,1
CH_Yaupi,Carhuamayo220,113.686,10,14.525,3.9135,0.5,0,0,0,0,0,1
CH_Huanchor,Oroya220,19.768,6.11,5.464,1.8089,0.5,0,0,0,0,0,1
CH_Pariac,Huallanca138,4.785355,0,1.352,1.77,0.5,0,0,0,0,0,1
CH_Yanango,Pachachaca220,43.114,5,10.017,2.152,0.5,0,0,0,0,0,1
CH_Chimay,Pachachaca220,152.342,45,45.098,1.689,0.5,1,0.2,1.5,0.85,0.33,1
CH_Charcani4,Socabaya220,15.367,2.4,7.52,1.0217,0.5,0,0,0,0,0,1
CH_Charcani5,Socabaya220,146.575,15,13.098,5.59553,0.5,1,0.0253,0.0905,0.0579,0.03182,1
CH_Charcani6,Socabaya220,8.913,1.4,7.485,0.5954,0.5,0,0,0,0,0,1
CH_Aricota1,LosHerores220,22.093,1.5,2.271,4.86416,0.5,0,0,0,0,0,1
CH_Arico2,LosHerores220,12.23,1.5,2.291,2.66856,0.5,0,0,0,0,0,1
CH_Machupicchu,Machupicchu138,168.825,3,27.914,3.024,0.5,0,0,0,0,0,1
CH_SanGaban2,SanGaban138,115.728,5,9.94,5.8213,0.5,1,0.025,0.148,0.0865,0.0373,1
CH_Yuncan,Carhuamayo220,136.69068,16,14.784,4.623,0.5,1,1.268,1.602,1.435,1.3014,1
CH_ElPlatanal,ChilcaRep220,227.09516,20,20.352,5.57926,0.5,1,0.12,0.57,0.345,0.165,1
CH_Cahua,Paramonga220,45.382,6,12.154,1.867,0.5,0,0,0,0,0,1
CH_Malpaso,Oroya220,48.448,6,40.192,0.6027,0.5,1,19.7383,23.5664,21.65235,20.12111,1
CH_CaniondelPato,Huallanca138,265.565,25.64,37.787,3.514,0.5,1,0,0.72,0.36,0.072,1
CH_Cahuaquero,Carhuaquero220,94.532,10,10.532,4.488,0.5,1,0.07,0.597,0.3335,0.1227,1
CH_GallitoCiego,Trujillo220,35.28,12,20.555,0.8582,0.5,0,0,0,0,0,1
CH_Arcata,Tintaya138,5.064,0.1,1.31,1.933,0.5,0,0,0,0,0,1
CH_SantaTeresa,Suriray220,89.849,20,26.535,1.693,0.5,0,0,0,0,0,1
CH_Quitaracsa,KimanAyllu220,117.78,16,7.804,7.546,0.5,1,0.0003,0.27,0.13515,0.02727,1
CH_CerroDelAguila,Colcabamba220,564.765,64.5,117.415,2.405,0.5,1,20.092,32.426,26.259,21.3254,1
CH_Pchaglla,Paragsha138,6.39,1,1.84,1.7364,0.5,0,0,0,0,0,1
CH_Cahuaquero4,Carhuaquero220,9.983,0.8,1.279,3.903,0.5,0,0,0,0,0,1
CH_Cheves,Paramonga220,179.6217,20,17.172,5.2301,0.5,1,0.085,0.4874,0.2862,0.12524,1
CH_Huanza,Huanza220,98.316,4.5,8.16,6.024,0.5,1,0.263,0.636,0.4495,0.3003,1
CH_Mcda,Colcabamba220,10.427,2.88,9.594,0.5434,0.5,0,0,0,0,0,1
CH_Carhuac,Carapongo220,20.36597,3.7,7.095,1.4352,0.5,0,0,0,0,0,1
CH_CaniaBRava,Carhuaquero220,5.67,1.061,9.709,0.292,0.5,0,0,0,0,0,1
CH_LaVirgen,Oroya220,93.76,4.69,15.226,3.079,0.5,0,0,0,0,0,1
CH_Chaglla,Paragsha220,470.35,140,74.185,3.1701,0.5,1,351.47,365.965,358.7175,352.9195,1
